품목비교 Historical Data
조회기간 :,2015-01-05 ~ 2018-07-19
표시기준 :,Value(Price)로 표시
순서 :,과거부터(ASC)
병합기준 :,Intersect
[주간평균 기준]
,"WTI [CME(NYMEX)] 2018.08USD/bbl(barrel)","브렌트유 [ICE] 2018.09USD/bbl(barrel)","철근 [SHFE] 2018.10RMB/ton"
20150105,48.75,51.29,2579.6
20150112,47.08,48.23,2506.8
20150119,46.52,48.63,2492
20150126,45.72,49.67,2475.8
20150202,50.65,56.24,2487
20150209,51.14,58.05,2488
20150216,51.79,60.87,2523.5
20150223,49.53,60.36,2490.67
20150302,50.4,60.26,2467
20150309,47.67,56.76,2481.2
20150316,44.34,54.62,2497.6
20150323,48.89,56.62,2510.4
20150330,48.93,55.86,2408
20150406,51.79,57.44,2303.5
20150413,55.12,61.42,2311.8
20150420,57.11,63.68,2314.4
20150427,58.28,65.71,2382
20150504,59.72,66.53,2414
20150511,60.01,66.42,2387.4
20150518,59.37,65.45,2340.2
20150525,58.38,63.48,2353.4
20150601,59.65,63.9,2357.2
20150608,60.09,64.45,2337.4
20150615,59.89,63.76,2255.8
20150622,60.2,63.55,2230.25
20150629,57.92,62.42,2143
20150706,52.41,57.56,2000.6
20150713,51.69,57.49,2011.2
20150720,49.26,55.94,2066.4
20150727,47.96,53.13,2087.4
20150803,44.92,49.45,2083.8
20150810,43.21,49.5,2069.2
20150817,41.38,47.36,2046.8
20150824,40.79,45.33,1960.4
20150831,46.73,50.9,1958.33
20150907,45.16,48.35,1945.2
20150914,45.46,47.86,1929
20150921,45.52,48.5,1897.4
20150928,45.01,47.95,1845.33
20151005,48.33,51.64,1838.5
20151012,46.81,49.48,1836.2
20151019,45.32,48.25,1805.8
20151026,45.15,48.35,1795.8
20151102,45.97,48.66,1782
20151109,42.7,45.62,1782
20151116,40.82,44.22,1732.2
20151123,42.34,45.49,1673.6
20151130,40.9,43.68,1643.2
20151207,36.94,39.75,1655.4
20151214,35.77,37.54,1674.2
20151221,36.62,36.93,1730
20151228,37.08,37.04,1768.5
20160104,34.63,35.03,1777.6
20160111,30.59,30.95,1754.8
20160118,29.18,29.32,1820.4
20160125,32.19,32.81,1839
20160201,31.28,34.1,1829.2
20160215,30.03,33.47,1867.4
20160222,32.27,34.55,1931.6
20160229,34.66,37.22,1975
20160307,37.81,40.4,2095.2
20160314,38.32,40.27,2033.2
20160321,40.15,41.06,2157.6
20160328,38.22,39.39,2147.8
20160404,37.26,39.35,2185
20160411,41.23,43.73,2321.8
20160418,42.08,44.48,2544
20160425,44.79,46.73,2568.8
20160502,44.24,45.16,2386.75
20160509,45.45,46.53,2139.6
20160516,48.03,48.94,2064.4
20160523,49.01,49.12,1958.4
20160530,48.98,49.77,1978.6
20160606,50.18,51.4,2071
20160613,47.91,49.1,2098.8
20160620,49.02,50.09,2111.8
20160627,48.28,49.28,2272.8
20160704,46.15,48,2394.2
20160711,45.59,47.19,2497.4
20160718,44.75,46.54,2351.2
20160725,42.14,43.64,2396.2
20160801,40.83,43.12,2485.4
20160808,43.1,45.49,2578.6
20160815,47.17,49.84,2589
20160822,47.38,49.55,2571.4
20160829,45.13,47.39,2433
20160905,45.96,48.17,2380.2
20160912,44.34,46.73,2279.67
20160919,44.58,46.44,2269.4
20160926,46.74,48.06,2289.4
20161010,50.62,52.27,2323.4
20161017,50.62,51.81,2451.4
20161024,49.62,50.48,2527
20161031,45.52,47.05,2638
20161107,44.64,45.83,2934
20161114,45.16,46.27,2865.6
20161121,47.39,48.55,2893.6
20161128,48.9,50.7,3109.2
20161205,50.97,54.02,3278
20161212,51.93,54.91,3409
20161219,52.56,54.99,3137.8
20161226,53.86,56.32,2947
20170102,53.34,56.48,2925.5
20170109,52.08,55.03,3129.4
20170116,51.84,54.98,3288.8
20170123,53.13,55.5,3265.75
20170130,53.34,56.22,3174
20170206,52.88,55.64,3191
20170213,53.2,55.75,3420.4
20170220,54.02,56.27,3522.6
20170227,53.57,55.77,3542
20170306,50.88,53.72,3448.2
20170313,48.5,51.52,3576.8
20170320,48.17,50.92,3485.8
20170327,49.31,52.06,3167.6
20170403,51.27,54.28,3164
20170410,53.19,55.99,2965.2
20170417,51.25,53.63,2880.2
20170424,49.34,51.74,2971.2
20170501,47.21,50.08,3048.5
20170508,47.06,49.98,3014.8
20170515,49.32,52.36,3067.2
20170522,50.53,53.12,3273.8
20170529,48.5,50.61,3110.67
20170605,46.56,48.73,2971.8
20170612,45.29,47.66,3043.2
20170619,43.24,45.7,3093
20170626,44.67,47.28,3228.6
20170703,45.49,48.38,3393.4
20170710,45.51,47.89,3545.6
20170717,46.49,48.86,3592.6
20170724,48.35,50.7,3551.2
20170731,49.51,52.26,3735.4
20170807,49.11,52.24,3979.4
20170814,47.5,51.11,3785.8
20170821,47.74,52.11,3879.2
20170828,46.7,51.89,3896.2
20170904,48.6,53.96,4036.8
20170911,49.08,54.87,3894.4
20170918,50.2,55.95,3728.6
20170925,51.89,57.57,3617.4
20171009,50.77,56.55,3639.6
20171016,51.87,57.77,3723.6
20171023,52.62,58.71,3689.4
20171030,54.6,60.94,3611.2
20171106,57.05,63.78,3754.6
20171113,55.93,62.26,3734.6
20171120,57.56,63.1,3763.2
20171127,57.83,63.1,3915.2
20171204,57.02,62.43,3954.8
20171211,57.21,63.4,3863
20171218,57.94,64.38,3846.2
20171225,59.97,66.37,3807
20180101,61.36,67.53,3822.25
20180108,63.27,68.99,3817.2
20180115,63.74,69.33,3828
20180122,65.06,70.09,3934.8
20180129,65.21,68.97,3935.2
20180205,61.94,65.52,3938.4
20180212,60.39,63.77,3919.33
20180219,62.45,66.01,3889.5
20180226,62.16,65.35,4015.6
20180305,61.7,64.95,3892.8
20180312,61.31,65.16,3724.6
20180319,64.2,68.46,3608.2
20180326,65.03,69.42,3395.4
20180402,63.1,67.84,3360
20180409,66.04,71.27,3404.2
20180416,67.58,72.86,3441.4
20180423,68.14,74.05,3556.4
20180430,68.38,73.93,3678.33
20180507,70.6,76.56,3628.8
20180514,71.31,78.75,3670.4
20180521,71,78.76,3573.8
20180528,66.95,76.57,3649.4
20180604,65.34,75.96,3761.6
20180611,66.21,75.69,3847.2
20180618,66.12,74.75,3789
20180625,71.79,77.07,3727.4
20180702,73.71,77.39,3770.6
20180709,71.94,76.02,3886.4
20180716,68.59,72.37,3952.75
