품목비교 Historical Data
조회기간 :,2015-01-05 ~ 2018-07-19
표시기준 :,Value(Price)로 표시
순서 :,과거부터(ASC)
병합기준 :,Intersect
[주간평균 기준]
,"철근 [SHFE] 2018.10RMB/ton","선재 [SHFE] 2018.10RMB/ton"
20150105,2579.6,2832
20150112,2506.8,2783.6
20150119,2492,2717.8
20150126,2475.8,2635
20150202,2487,2559.4
20150209,2488,2635.6
20150216,2523.5,2805
20150223,2490.67,2805
20150302,2467,2760
20150309,2481.2,2760
20150316,2497.6,2760
20150323,2510.4,2732.6
20150330,2408,2586.6
20150406,2303.5,2536.5
20150413,2311.8,2474.2
20150420,2314.4,2502.4
20150427,2382,2479
20150504,2414,2479
20150511,2387.4,2479
20150518,2340.2,2309
20150525,2353.4,2309
20150601,2357.2,2309
20150608,2337.4,2309
20150615,2255.8,2551.4
20150622,2230.25,2612
20150629,2143,2581.6
20150706,2000.6,2464.6
20150713,2011.2,2417
20150720,2066.4,2417
20150727,2087.4,2356.6
20150803,2083.8,2350
20150810,2069.2,2350
20150817,2046.8,2350
20150824,1960.4,2350
20150831,1958.33,2350
20150907,1945.2,2350
20150914,1929,2375.8
20150921,1897.4,2379.6
20150928,1845.33,2277.67
20151005,1838.5,2098
20151012,1836.2,2098
20151019,1805.8,2098
20151026,1795.8,2082
20151102,1782,2088
20151109,1782,2088
20151116,1732.2,2114.4
20151123,1673.6,2121
20151130,1643.2,2124
20151207,1655.4,2124
20151214,1674.2,2124
20151221,1730,2124
20151228,1768.5,2124
20160104,1777.6,2124
20160111,1754.8,2124
20160118,1820.4,1911
20160125,1839,1911
20160201,1829.2,1911
20160215,1867.4,1911
20160222,1931.6,1911
20160229,1975,1911
20160307,2095.2,1911
20160314,2033.2,1911
20160321,2157.6,1911
20160328,2147.8,1911
20160404,2185,1911
20160411,2321.8,1911
20160418,2544,1911
20160425,2568.8,1911
20160502,2386.75,1911
20160509,2139.6,1911
20160516,2064.4,2254.2
20160523,1958.4,2340
20160530,1978.6,2340
20160606,2071,2340
20160613,2098.8,2252.8
20160620,2111.8,2122
20160627,2272.8,2122
20160704,2394.2,2178
20160711,2497.4,2481.6
20160718,2351.2,2479.8
20160725,2396.2,2431
20160801,2485.4,2431
20160808,2578.6,2431
20160815,2589,2431
20160822,2571.4,2373.8
20160829,2433,2145
20160905,2380.2,2145
20160912,2279.67,2145
20160919,2269.4,2145
20160926,2289.4,2143
20161010,2323.4,2379.4
20161017,2451.4,2305
20161024,2527,2305
20161031,2638,2305
20161107,2934,2305
20161114,2865.6,2305
20161121,2893.6,2305
20161128,3109.2,2305
20161205,3278,2305
20161212,3409,2305
20161219,3137.8,2305
20161226,2947,2305
20170102,2925.5,2305
20170109,3129.4,2305
20170116,3288.8,2330
20170123,3265.75,2330
20170130,3174,2330
20170206,3191,2330
20170213,3420.4,2330
20170220,3522.6,2330
20170227,3542,2330
20170306,3448.2,2330
20170313,3576.8,2330
20170320,3485.8,2524
20170327,3167.6,2988
20170403,3164,3046
20170410,2965.2,3046
20170417,2880.2,3046
20170424,2971.2,3046
20170501,3048.5,2979.5
20170508,3014.8,2953
20170515,3067.2,2953
20170522,3273.8,2953
20170529,3110.67,2953
20170605,2971.8,2953
20170612,3043.2,2953
20170619,3093,2953
20170626,3228.6,2953
20170703,3393.4,2953
20170710,3545.6,2953
20170717,3592.6,3095.4
20170724,3551.2,3299
20170731,3735.4,3299
20170807,3979.4,3299
20170814,3785.8,3299
20170821,3879.2,3299
20170828,3896.2,3299
20170904,4036.8,3416.6
20170911,3894.4,3446
20170918,3728.6,3446
20170925,3617.4,3446
20171009,3639.6,3446
20171016,3723.6,3446
20171023,3689.4,3446
20171030,3611.2,3446
20171106,3754.6,3446
20171113,3734.6,3446
20171120,3763.2,3381
20171127,3915.2,3121
20171204,3954.8,3121
20171211,3863,3121
20171218,3846.2,3121
20171225,3807,3121
20180101,3822.25,3121
20180108,3817.2,3121
20180115,3828,3121
20180122,3934.8,3121
20180129,3935.2,3121
20180205,3938.4,3121
20180212,3919.33,3121
20180219,3889.5,3121
20180226,4015.6,3121
20180305,3892.8,3121
20180312,3724.6,3123
20180319,3608.2,3030.2
20180326,3395.4,2941
20180402,3360,2941
20180409,3404.2,2941
20180416,3441.4,2941
20180423,3556.4,2941
20180430,3678.33,2941
20180507,3628.8,2941
20180514,3670.4,3743.2
20180521,3573.8,3921
20180528,3649.4,3921
20180604,3761.6,3921
20180611,3847.2,3921
20180618,3789,4060
20180625,3727.4,4060
20180702,3770.6,4060
20180709,3886.4,4060
20180716,3952.75,4086.75
