"","날짜","철광석_가격","미국_수입량","알루미늄","전기동","연","아연","주석","니켈","BHP_close","RIO_close","VALE_close","PDS.원자재.지수","USD.CNY..미국.달러...중국.인민폐.","USD.BRL..미국.달러...브라질.레알.","AUD.USD..호주.달러...미국.달러.","inventory.index"
"1","2015-01-05","71.17","739264.5","491.375","1674.125","497.375","550.625","5001.875","4123.25","46.93","45.53","8.55","98.22","6.21","2.68","0.81","98.7"
"2","2015-01-12","68.92","910708","465.125","1527.375","470.625","535.375","4911.125","3836.25","46.14","44.2","8.41","93.71","6.2","2.64","0.82","98.91"
"3","2015-01-19","67.45","1082152","438.875","1380.625","443.875","520.125","4820.375","3549.25","45.5","43.08","7.85","93.25","6.22","2.6","0.81","98.22"
"4","2015-01-26","63.12","1253595","412.625","1233.875","417.125","504.875","4729.625","3262.25","46.33","44.13","7.03","93.87","6.25","2.61","0.79","99.77"
"5","2015-02-02","62.47","1073762","450.375","1468.25","460.25","528.75","5012.125","3722.25","48.29","46.24","7.35","95.68","6.25","2.74","0.78","98.48"
"6","2015-02-09","62.24","919097.1","453.625","1439.75","454.25","526.75","4719.375","3663.25","51.19","49.37","8.05","99.94","6.24","2.83","0.78","96.69"
"7","2015-02-16","63.91","764431.9","456.875","1411.25","448.25","524.75","4426.625","3604.25","50.48","49.94","7.83","103.17","6.26","2.84","0.78",NA
"8","2015-02-23","63.06","609766.6","460.125","1382.75","442.25","522.75","4133.875","3545.25","52.52","49.33","7.42","102.72","6.26","2.87","0.78","98.29"
"9","2015-03-02","61.25","690753.6","373.8","1095.6","365","435.4","3824.6","3064.8","49.35","44.23","6.42","103.33","6.27","2.98","0.78","99.38"
"10","2015-03-09","57.99","673411.6","364.2","1140.4","361","420.6","3658.4","2907","44.55","41.9","5.82","102.29","6.26","3.15","0.77","100.28"
"11","2015-03-16","56.2","656069.6","354.6","1185.2","357","405.8","3492.2","2749.2","48.06","43.58","6.26","99.69","6.23","3.24","0.77","99.19"
"12","2015-03-23","55","638727.6","345","1230","353","391","3326","2591.4","47.1","41.88","5.67","99.44","6.21","3.18","0.78","100.13"
"13","2015-03-30","50.16","621385.6","335.4","1274.8","349","376.2","3159.8","2433.6","45.56","41.2","5.76","100.86","6.19","3.17","0.76","97.24"
"14","2015-04-06","47.81","833085.1","437.75","1468.625","419.375","485","4549.625","3556.875","45.82","41.45","6.04","100.93","6.2","3.09","0.77","97.37"
"15","2015-04-13","50.13","807088.9","448.75","1494.375","473.125","529.5","4180.875","3316.125","46.44","42.02","5.87","102.63","6.21","3.06","0.77","97.58"
"16","2015-04-20","53.86","781092.6","459.75","1520.125","526.875","574","3812.125","3075.375","51.04","45.72","7.92","106.4","6.19","3","0.78","97.16"
"17","2015-04-27","58.07","755096.4","470.75","1545.875","580.625","618.5","3443.375","2834.625","51.92","45.87","8.07","108.56","6.21","2.97","0.79","95.07"
"18","2015-05-04","59.78","805780.9","455.75","1473.25","499.5","541.375","4016.375","3105","50.8","46.11","7.63","110.14","6.21","3.04","0.79","89.91"
"19","2015-05-11","62.42","782400.6","452.75","1541.25","500.5","562.125","3976.625","3286.5","51.55","46.13","7.12","110.29","6.21","3.02","0.8","86.56"
"20","2015-05-18","58.83","759020.4","449.75","1609.25","501.5","582.875","3936.875","3468","45.87","44.88","6.57","110.02","6.2","3.04","0.79","84.92"
"21","2015-05-25","62.25","735640.1","446.75","1677.25","502.5","603.625","3897.125","3649.5","44.63","43.77","6.3","107.68","6.2","3.15","0.77","83.31"
"22","2015-06-01","63.89","670599.6","385.2","1353.6","434.4","498.4","3327.8","2847.6","42.91","43.63","6.51","106.16","6.2","3.15","0.77","82.73"
"23","2015-06-08","64.95","616568.4","361","1260.2","400.8","458","3165.4","2701.8","43.3","44.04","6.81","105.89","6.21","3.11","0.77","80.74"
"24","2015-06-15","62.36","562537.2","336.8","1166.8","367.2","417.6","3003","2556","43.81","43.16","6.51","106.99","6.21","3.09","0.78","79.62"
"25","2015-06-22","61.62","508506","312.6","1073.4","333.6","377.2","2840.6","2410.2","42.69","42.84","6.23","106.15","6.21","3.1","0.77","78.71"
"26","2015-06-29","58.15","454474.8","288.4","980","300","336.8","2678.2","2264.4","41.29","41.04","5.85","105.47","6.21","3.12","0.76","81.77"
"27","2015-07-06","49.11","682176","426.75","1505.625","468.25","532.75","3760.375","3369.25","39.47","39.14","5.43","102.39","6.21","3.19","0.75","82.01"
"28","2015-07-13","50.39","724167","415.25","1411.375","449.75","511.25","3747.125","3020.75","39.56","40.35","5.46","100.45","6.21","3.15","0.74","81.15"
"29","2015-07-20","51.88","766158","403.75","1317.125","431.25","489.75","3733.875","2672.25","36.3","37.39","5.05","98.67","6.21","3.25","0.74","81.75"
"30","2015-07-27","54.15","808149","392.25","1222.875","412.75","468.25","3720.625","2323.75","38.37","38.62","5.26","96.28","6.21","3.37","0.73","80.68"
"31","2015-08-03","56.03","636811.8","347.2","1165","366.2","438.8","2939","2486","38.64","39.8","5.28","93.42","6.21","3.49","0.74","81.56"
"32","2015-08-10","56.57","596130","327.6","1091.4","352.4","400.4","2992.4","2277.2","37.88","38.59","5.23","92.07","6.34","3.48","0.74","81.67"
"33","2015-08-17","56.39","555448.2","308","1017.8","338.6","362","3045.8","2068.4","34.68","35.99","4.75","90.63","6.39","3.48","0.73","81.04"
"34","2015-08-24","54.07","514766.4","288.4","944.2","324.8","323.6","3099.2","1859.6","36.69","36.6","4.83","86.2","6.4","3.58","0.71","80.59"
"35","2015-08-31","56.5","474084.6","268.8","870.6","311","285.2","3152.6","1650.8","33.75","34.23","4.73","88.69","6.36","3.73","0.7","79.94"
"36","2015-09-07","57.87","720067.5","378.875","1257.375","424.625","463.875","3775.75","2641","34.07","37.21","4.98","88.97","6.37","3.83","0.7","81.25"
"37","2015-09-14","57.53","668553","391.125","1287.125","421.875","441.125","3838.75","2530","34.6","35.52","4.98","88.68","6.37","3.87","0.72","82.9"
