<<<<<<< HEAD
,날짜,철광석_가격,미국_수입량,알루미늄,전기동,연,아연,주석,니켈,BHP_close,RIO_close,VALE_close,PDS.원자재.지수,USD.CNY..미국.달러...중국.인민폐.,USD.BRL..미국.달러...브라질.레알.,AUD.USD..호주.달러...미국.달러.,inventory.index,WTI [CME(NYMEX)] 2018.08USD/bbl(barrel),브렌트유 [ICE] 2018.09USD/bbl(barrel),철근 [SHFE] 2018.10RMB/ton,철근 [SHFE] 2018.10RMB/ton,선재 [SHFE] 2018.10RMB/ton
1,2015-01-05,71.17,739264.5,491.375,1674.125,497.375,550.625,5001.875,4123.25,46.93,45.53,8.55,98.22,6.21,2.68,0.81,98.7,48.75,51.29,2579.6,2579.6,2832
2,2015-01-12,68.92,910708,465.125,1527.375,470.625,535.375,4911.125,3836.25,46.14,44.2,8.41,93.71,6.2,2.64,0.82,98.91,47.08,48.23,2506.8,2506.8,2783.6
3,2015-01-19,67.45,1082152,438.875,1380.625,443.875,520.125,4820.375,3549.25,45.5,43.08,7.85,93.25,6.22,2.6,0.81,98.22,46.52,48.63,2492,2492,2717.8
4,2015-01-26,63.12,1253595,412.625,1233.875,417.125,504.875,4729.625,3262.25,46.33,44.13,7.03,93.87,6.25,2.61,0.79,99.77,45.72,49.67,2475.8,2475.8,2635
5,2015-02-02,62.47,1073762,450.375,1468.25,460.25,528.75,5012.125,3722.25,48.29,46.24,7.35,95.68,6.25,2.74,0.78,98.48,50.65,56.24,2487,2487,2559.4
6,2015-02-09,62.24,919097.1,453.625,1439.75,454.25,526.75,4719.375,3663.25,51.19,49.37,8.05,99.94,6.24,2.83,0.78,96.69,51.14,58.05,2488,2488,2635.6
7,2015-02-16,63.91,764431.9,456.875,1411.25,448.25,524.75,4426.625,3604.25,50.48,49.94,7.83,103.17,6.26,2.84,0.78,97.49,51.79,60.87,2523.5,2523.5,2805
8,2015-02-23,63.06,609766.6,460.125,1382.75,442.25,522.75,4133.875,3545.25,52.52,49.33,7.42,102.72,6.26,2.87,0.78,98.29,49.53,60.36,2490.67,2490.67,2805
9,2015-03-02,61.25,690753.6,373.8,1095.6,365,435.4,3824.6,3064.8,49.35,44.23,6.42,103.33,6.27,2.98,0.78,99.38,50.4,60.26,2467,2467,2760
10,2015-03-09,57.99,673411.6,364.2,1140.4,361,420.6,3658.4,2907,44.55,41.9,5.82,102.29,6.26,3.15,0.77,100.28,47.67,56.76,2481.2,2481.2,2760
11,2015-03-16,56.2,656069.6,354.6,1185.2,357,405.8,3492.2,2749.2,48.06,43.58,6.26,99.69,6.23,3.24,0.77,99.19,44.34,54.62,2497.6,2497.6,2760
