date1,inventory index,date2,price,date3,BHP_close,date4,VALE_close,RIO_Close,,date5,USD_RMB
2013.7.5,73.96,2013.7.5,121.8,2013.7.1,56.32,2013.7.1,12.63,39.900002,2013.7.5,2013.7.1,6.18
2013.7.12,73.04,2013.7.12,125.3,2013.7.8,60.68,2013.7.8,13.29,42.16,2013.7.12,2013.7.8,6.17
2013.7.19,72.03,2013.7.19,133.13,2013.7.15,62.599998,2013.7.15,13.82,44.349998,2013.7.19,20130715,6.17
2013.7.26,72.66,2013.7.26,131.2,2013.7.22,64.290001,2013.7.22,14.39,45.400002,2013.7.26,20130722,6.17
2013.8.2,72.41,2013.8.2,131.7,2013.7.29,63.48,2013.7.29,13.75,46.200001,2013.8.2,20130729,6.18
2013.8.9,71.03,2013.8.9,133.8,2013.8.5,67.68,2013.8.5,15.51,49.810001,2013.8.9,20130805,6.17
2013.8.16,71.48,2013.8.16,140.6,2013.8.12,67.540001,2013.8.12,15.37,48.369999,2013.8.16,20130812,6.17
2013.8.23,71.04,2013.8.23,138.9,2013.8.19,64.550003,2013.8.19,15.37,47.68,2013.8.23,20130819,6.17
2013.8.30,72.99,2013.8.30,139,2013.8.26,63.279999,2013.8.26,14.41,45.110001,2013.8.30,20130826,6.17
2013.9.6,73.62,2013.9.6,137.7,2013.9.2,64.93,2013.9.2,15.62,48.110001,2013.9.6,20130902,6.17
2013.9.13,72.55,2013.9.13,135.4,2013.9.9,66.580002,2013.9.9,16.040001,49.990002,2013.9.13,20130909,6.16
2013.9.20,71.89,2013.9.20,132.1,2013.9.16,67.370003,2013.9.16,16.18,49.360001,2013.9.20,20130916,6.16
2013.9.27,72.33,2013.9.27,133.3,2013.9.23,67.150002,2013.9.23,15.6,49.48,2013.9.27,20130923,6.15
2013.10.11,76.52,2013.10.11,132.4,2013.10.7,67.150002,2013.10.7,15.51,49.279999,2013.10.11,20131007,6.14
2013.10.18,77.37,2013.10.18,135,2013.10.14,69.599998,2013.10.14,16.110001,51.869999,2013.10.18,20131014,6.14
2013.10.25,80.36,2013.10.25,133.9,2013.10.21,71.93,2013.10.21,16.08,52.259998,2013.10.25,20131021,6.13
2013.11.1,79.67,2013.11.1,132.8,2013.10.28,70.959999,2013.10.28,16.379999,51.169998,2013.11.1,20131028,6.14
2013.11.8,82.16,2013.11.8,137.5,2013.11.4,71.860001,2013.11.4,15.98,53.169998,2013.11.8,20131104,6.14
2013.11.15,83.98,2013.11.15,137.6,2013.11.11,71.370003,2013.11.11,15.77,52.5,2013.11.15,20131111,6.14
2013.11.22,85.51,2013.11.22,136.5,2013.11.18,69.040001,2013.11.18,15.46,51.73,2013.11.22,20131118,6.13
2013.11.29,87.43,2013.11.29,136,2013.11.25,68.220001,2013.11.25,15.32,53.049999,2013.11.29,20131125,6.13
2013.12.6,88.66,2013.12.6,138.7,2013.12.2,67.529999,2013.12.2,15.25,53.84,2013.12.6,20131202,6.13
2013.12.13,87.35,2013.12.13,138.9,2013.12.9,63.740002,2013.12.9,14.67,51.779999,2013.12.13,20131209,6.11
2013.12.20,88.57,2013.12.20,134.7,2013.12.16,65.989998,2013.12.16,14.43,53.830002,2013.12.20,20131216,6.11
2013.12.27,88.62,2013.12.27,133.83,2013.12.23,67.410004,2013.12.23,15.23,55.630001,2013.12.27,20131223,6.11
2014.1.3,89.3,2014.1.3,135,2013.12.30,67.519997,2013.12.30,14.33,55.110001,2014.1.3,20131230,6.1
2014.1.10,91.44,2014.1.10,134.2,2014.1.6,65.800003,2014.1.6,13.72,51.939999,2014.1.10,20140106,6.11
2014.1.17,96.09,2014.1.17,131.1,2014.1.13,67.050003,2014.1.13,13.79,55.040001,2014.1.17,20140113,6.1
2014.1.24,98.12,2014.1.24,125.7,2014.1.20,62.990002,2014.1.20,12.9,51.18,2014.1.24,20140120,6.11
2014.2.7,102.86,2014.2.7,124.2,2014.2.3,65.650002,2014.2.3,14.38,56.169998,2014.2.7,20140203,6.11
2014.2.14,106.12,2014.2.14,122.9,2014.2.10,68.32,2014.2.10,14.66,58.900002,2014.2.14,20140210,6.11
2014.2.21,107.2,2014.2.21,125.1,2014.2.17,70.639999,2014.2.17,14.73,59.689999,2014.2.21,20140217,6.11
2014.2.28,106.01,2014.2.28,119.2,2014.2.24,68.900002,2014.2.24,14.17,57.299999,2014.2.28,20140224,6.12
2014.3.7,108.57,2014.3.7,116.6,2014.3.3,66.709999,2014.3.3,13.04,53.389999,2014.3.7,20140303,6.12
2014.3.14,110.65,2014.3.14,109.2,2014.3.10,64.239998,2014.3.10,12.49,52.110001,2014.3.14,20140310,6.13
2014.3.21,111.93,2014.3.21,110.75,2014.3.17,64.75,2014.3.17,13.04,52.650002,2014.3.21,20140317,6.14
2014.3.28,111.58,2014.3.28,112.6,2014.3.24,67.43,2014.3.24,13.68,54.740002,2014.3.28,20140324,6.15
2014.4.4,111.02,2014.4.4,116.7,2014.3.31,69.900002,2014.3.31,14.48,55.299999,2014.4.4,20140331,6.15
2014.4.11,111.65,2014.4.11,117.37,2014.4.7,70.400002,2014.4.7,14.76,55.709999,2014.4.11,20140407,6.15
2014.4.25,112.63,2014.4.25,112.69,2014.4.21,70.75,2014.4.21,13.51,55.060001,2014.4.25,20140421,6.16
2014.5.2,113.06,2014.5.2,107.43,2014.4.28,69.889999,2014.4.28,13.57,54.610001,2014.5.2,20140428,6.16
2014.5.9,112.6,2014.5.9,105.43,2014.5.5,69.510002,2014.5.5,13.23,54.119999,2014.5.9,20140505,6.16
2014.5.16,114.75,2014.5.16,102.65,2014.5.12,70.800003,2014.5.12,13.73,55.18,2014.5.16,20140512,6.16
2014.5.23,115.35,2014.5.23,98.62,2014.5.19,69.949997,2014.5.19,13.18,54.619999,2014.5.23,20140519,6.16
2014.5.30,115.88,2014.5.30,96.35,2014.5.26,67.879997,2014.5.26,12.75,51.380001,2014.5.30,20140526,6.17
2014.6.6,115.76,2014.6.6,93.63,2014.6.2,67.949997,2014.6.2,13.09,53.470001,2014.6.6,20140602,6.17
2014.6.13,115.7,2014.6.13,92.79,2014.6.9,66.779999,2014.6.9,12.81,51.599998,2014.6.13,20140609,6.15
2014.6.20,116.21,2014.6.20,90.82,2014.6.16,67.959999,2014.6.16,12.86,52.619999,2014.6.20,20140616,6.15
2014.6.27,114.81,2014.6.27,94.49,2014.6.23,68.889999,2014.6.23,13.29,53.43,2014.6.27,20140623,6.15
2014.7.4,116.18,2014.7.4,95.11,2014.6.30,71.089996,2014.6.30,14.03,56.669998,2014.7.4,20140630,6.16
