,중국_생산량(10000톤),,중국_수입량(10000톤),,미국_수입량,LME_date[$/톤],알루미늄,전기동,연,아연,주석,니켈,,브라질_수출량(1000톤)
2013-05-01,11710.1,2013-05-01,6856.17645,2013-05-01,"2,574,859",2013-05-01,,,,,,,2013-05-01,
2013-06-01,12985.6,2013-06-01,6229.580444,2013-06-01,"2,231,754",2013-06-01,,,,,,,2013-06-01,
2013-07-01,12275.1,2013-07-01,7314.303193,2013-07-01,"2,286,567",2013-07-01,1768 ,"6,893","2,048","1,836","19,589","13,705",2013-07-01,
2013-08-01,13134.7,2013-08-01,6900.811653,2013-08-01,"2,611,215",2013-08-01,1815 ,"7,182","2,173","1,895","21,629","14,282",2013-08-01,
2013-09-01,13784.5,2013-09-01,7458.345257,2013-09-01,"2,557,970",2013-09-01,"1,760","7,161","2,088","1,848","22,747","13,780",2013-09-01,
2013-10-01,13548.4,2013-10-01,6783.430333,2013-10-01,"2,813,240",2013-10-01,"1,812","7,189","2,111","1,883","23,128","14,070",2013-10-01,
2013-11-01,13855.8,2013-11-01,7784.394611,2013-11-01,"2,351,924",2013-11-01,"1,749","7,066","2,090","1,869","22,857","13,729",2013-11-01,
2013-12-01,13233.8,2013-12-01,7337.771561,2013-12-01,"2,274,129",2013-12-01,"1,737","7,203","2,133","1,974","22,835","13,915",2013-12-01,
2014-01-01,9788.3,2014-01-01,8683.460701,2014-01-01,"2,907,755",2014-01-01,"1,726","7,295","2,149","2,038","22,072","14,079",2014-01-01,
2014-02-01,8841,2014-02-01,6124.212165,2014-02-01,"2,980,898",2014-02-01,"1,694","7,152","2,110","2,035","22,809","14,195",2014-02-01,
2014-03-01,12133.8,2014-03-01,7396.186211,2014-03-01,"2,933,841",2014-03-01,"1,704","6,668","2,056","2,014","23,098","15,660",2014-03-01,
2014-04-01,12374.4,2014-04-01,8338.666018,2014-04-01,"3,391,086",2014-04-01,"1,809","6,671","2,086","2,031","23,422","17,375",2014-04-01,
2014-05-01,13057.9,2014-05-01,7738.170418,2014-05-01,"3,658,999",2014-05-01,"1,749","6,884","2,097","2,060","23,314","19,440",2014-05-01,
2014-06-01,13970.6,2014-06-01,7456.56934,2014-06-01,"3,276,125",2014-06-01,"1,834","6,807","2,103","2,127","22,771","18,579",2014-06-01,
2014-07-01,13646.3,2014-07-01,8251.817232,2014-07-01,"3,500,551",2014-07-01,"1,867","7,105","2,189","2,311","22,383","19,050",2014-07-01,
2014-08-01,13679.6,2014-08-01,7488.139812,2014-08-01,"3,355,169",2014-08-01,"2,030","7,001","2,237","2,329","22,294","18,576",2014-08-01,
2014-09-01,13763.2,2014-09-01,8469.489179,2014-09-01,"3,538,136",2014-09-01,"2,215","6,650","2,122","2,294","21,125","18,079",2014-09-01,
2014-10-01,13391.4,2014-10-01,7939.057443,2014-10-01,"4,029,059",2014-10-01,"1,938","6,739","2,038","2,273","19,909","15,770",2014-10-01,
2014-11-01,12705,2014-11-01,6739.904505,2014-11-01,"3,351,281",2014-11-01,"2,054","6,701","2,024","2,259","19,969","16,706",2014-11-01,
2014-12-01,12614.8,2014-12-01,8685.130053,2014-12-01,"3,299,945",2014-12-01,"1,913","6,403","1,936","2,172","19,826","15,919",2014-12-01,
2015-01-01,9223,2015-01-01,7857.059285,2015-01-01,"3,985,719",2015-01-01,"1,808","5,816","1,829","2,111","19,463","14,771",2015-01-01,
