공급사_주가,BHP_close,RIO_close,VALE_close,날짜,PDS 원자재 지수,날짜,USD/RMB_환율,기준일,철광석_가격,날짜,USD/BRL (미국 달러 / 브라질 레알),날짜,AUD/USD (호주 달러 / 미국 달러),중국_재고량,inventory index
2013-07-01,56.32,39.900002,12.63,,,2013-07-01,6.18,2013-07-05,121.8,2013-07-01,2.25,2013-07-01,0.91,2013-07-05,73.96
2013-07-08,60.68,42.16,13.29,,,2013-07-08,6.17,2013-07-12,125.3,2013-07-08,2.26,2013-07-08,0.92,2013-07-12,73.04
2013-07-15,62.599998,44.349998,13.82,,,2013-07-15,6.17,2013-07-19,133.13,2013-07-15,2.23,2013-07-15,0.92,2013-07-19,72.03
2013-07-22,64.290001,45.400002,14.39,,,2013-07-22,6.17,2013-07-26,131.2,2013-07-22,2.24,2013-07-22,0.92,2013-07-26,72.66
2013-07-29,63.48,46.200001,13.75,,,2013-07-29,6.18,2013-08-02,131.7,2013-07-29,2.28,2013-07-29,0.9,2013-08-02,72.41
2013-08-05,67.68,49.810001,15.51,,,2013-08-05,6.17,2013-08-09,133.8,2013-08-05,2.29,2013-08-05,0.9,2013-08-09,71.03
2013-08-12,67.540001,48.369999,15.37,,,2013-08-12,6.17,2013-08-16,140.6,2013-08-12,2.33,2013-08-12,0.91,2013-08-16,71.48
2013-08-19,64.550003,47.68,15.37,,,2013-08-19,6.17,2013-08-23,138.9,2013-08-19,2.41,2013-08-19,0.9,2013-08-23,71.04
2013-08-26,63.279999,45.110001,14.41,,,2013-08-26,6.17,2013-08-30,139,2013-08-26,2.37,2013-08-26,0.9,2013-08-30,72.99
2013-09-02,64.93,48.110001,15.62,,,2013-09-02,6.17,2013-09-06,137.7,2013-09-02,2.35,2013-09-02,0.91,2013-09-06,73.62
2013-09-09,66.580002,49.990002,16.040001,,,2013-09-09,6.16,2013-09-13,135.4,2013-09-09,2.28,2013-09-09,0.93,2013-09-13,72.55
2013-09-16,67.370003,49.360001,16.18,,,2013-09-16,6.16,2013-09-20,132.1,2013-09-16,2.23,2013-09-16,0.94,2013-09-20,71.89
2013-09-23,67.150002,49.48,15.6,,,2013-09-23,6.15,2013-09-27,133.3,2013-09-23,2.23,2013-09-23,0.94,2013-09-27,72.33
2013-09-30,66.510002,48.59,15.61,,,2013-09-30,6.15,2013-10-04,131.5,2013-09-30,2.21,2013-09-30,0.94,2013-10-11,76.52
2013-10-07,67.150002,49.279999,15.51,,,2013-10-07,6.14,2013-10-11,132.4,2013-10-07,2.2,2013-10-07,0.94,2013-10-18,77.37
2013-10-14,69.599998,51.869999,16.110001,,,2013-10-14,6.14,2013-10-18,135,2013-10-14,2.17,2013-10-14,0.96,2013-10-25,80.36
2013-10-21,71.93,52.259998,16.08,,,2013-10-21,6.13,2013-10-25,133.9,2013-10-21,2.18,2013-10-21,0.96,2013-11-01,79.67
2013-10-28,70.959999,51.169998,16.379999,,,2013-10-28,6.14,2013-11-01,132.8,2013-10-28,2.21,2013-10-28,0.95,2013-11-08,82.16
2013-11-04,71.860001,53.169998,15.98,,,2013-11-04,6.14,2013-11-08,137.5,2013-11-04,2.29,2013-11-04,0.95,2013-11-15,83.98
2013-11-11,71.370003,52.5,15.77,,,2013-11-11,6.14,2013-11-15,137.6,2013-11-11,2.33,2013-11-11,0.93,2013-11-22,85.51
2013-11-18,69.040001,51.73,15.46,,,2013-11-18,6.13,2013-11-22,136.5,2013-11-18,2.28,2013-11-18,0.93,2013-11-29,87.43
2013-11-25,68.220001,53.049999,15.32,,,2013-11-25,6.13,2013-11-29,136,2013-11-25,2.31,2013-11-25,0.91,2013-12-06,88.66
2013-12-02,67.529999,53.84,15.25,,,2013-12-02,6.13,2013-12-06,138.7,2013-12-02,2.36,2013-12-02,0.91,2013-12-13,87.35
2013-12-09,63.740002,51.779999,14.67,,,2013-12-09,6.11,2013-12-13,138.9,2013-12-09,2.33,2013-12-09,0.9,2013-12-20,88.57
2013-12-16,65.989998,53.830002,14.43,,,2013-12-16,6.11,2013-12-20,134.7,2013-12-16,2.34,2013-12-16,0.89,2013-12-27,88.62
