a,b,c,d,f,g,h
47.540001,45.720001,7.94,100,71.17,2.67,0.81
46.93,45.529999,8.55,98.22,68.92,2.68,0.81
46.139999,44.200001,8.41,93.71,67.45,2.64,0.82
45.5,43.080002,7.85,93.25,63.12,2.6,0.81
46.330002,44.130001,7.03,93.87,62.47,2.61,0.79
48.290001,46.240002,7.35,95.68,62.24,2.74,0.78
51.189999,49.369999,8.05,99.94,63.91,2.83,0.78
50.48,49.939999,7.83,103.17,63.06,2.84,0.78
52.52,49.330002,7.42,102.72,61.25,2.87,0.78
49.349998,44.23,6.42,103.33,57.99,2.98,0.78
44.549999,41.900002,5.82,102.29,56.2,3.15,0.77
48.060001,43.580002,6.26,99.69,55,3.24,0.77
47.099998,41.880001,5.67,99.44,50.16,3.18,0.78
45.560001,41.200001,5.76,100.86,47.81,3.17,0.76
45.82,41.450001,6.04,100.93,50.13,3.09,0.77
46.439999,42.02,5.87,102.63,53.86,3.06,0.77
51.040001,45.720001,7.92,106.4,58.07,3,0.78
51.919998,45.869999,8.07,108.56,59.78,2.97,0.79
50.799999,46.110001,7.63,110.14,62.42,3.04,0.79
51.549999,46.130001,7.12,110.29,58.83,3.02,0.8
45.869999,44.880001,6.57,110.02,62.25,3.04,0.79
44.630001,43.77,6.3,107.68,63.89,3.15,0.77
42.91,43.630001,6.51,106.16,64.95,3.15,0.77
43.299999,44.040001,6.81,105.89,62.36,3.11,0.77
43.810001,43.16,6.51,106.99,61.62,3.09,0.78
42.689999,42.84,6.23,106.15,58.15,3.1,0.77
41.290001,41.040001,5.85,105.47,49.11,3.12,0.76
39.470001,39.139999,5.43,102.39,50.39,3.19,0.75
39.560001,40.349998,5.46,100.45,51.88,3.15,0.74
36.299999,37.389999,5.05,98.67,54.15,3.25,0.74
38.369999,38.619999,5.26,96.28,56.03,3.37,0.73
38.639999,39.799999,5.28,93.42,56.57,3.49,0.74
37.880001,38.59,5.23,92.07,56.39,3.48,0.74
34.68,35.990002,4.75,90.63,54.07,3.48,0.73
36.689999,36.599998,4.83,86.2,56.5,3.58,0.71
33.75,34.23,4.73,88.69,57.87,3.73,0.7
34.07,37.209999,4.98,88.97,57.53,3.83,0.7
34.599998,35.52,4.98,88.68,56.45,3.87,0.72
31.870001,33.599998,4.52,88.07,55.68,4.02,0.7
33.060001,34.779999,4.48,87.59,54.28,4.01,0.7
37.759998,39.740002,5.48,88.49,54.84,3.84,0.72
36.060001,38.360001,4.79,90.61,52.56,3.84,0.73
35.75,38.290001,4.73,88.46,50.39,3.91,0.72
32.889999,36.509998,4.36,87.02,48.94,3.88,0.72
30.75,34.720001,4.14,87.23,48.19,3.8,0.71
28.41,34.240002,3.97,85.71,46,3.79,0.71
29.1,34.68,3.8,83.42,44.24,3.78,0.71
26.98,33.110001,3.57,83.51,41.42,3.75,0.72
26.48,31.75,3.28,83.04,38.72,3.82,0.73
