일자,식사명,수량(아침식사2 값 중복),식사내용,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2)
2003.3.1,저녁식사,19.566787,"감자으깸샐러드,비프까스,스위트피클,쌀밥,옥수수스프",6.1,4.5,702,8,1654,8,61,0,77.5,1400,0.83,4.01
2003.3.2,저녁식사,21.94945848,"계란탕,단무지잔파무침,자장소스,잡채밥,탕수만두",9.5,3.7,706,15.1,1604,0,20,1608,45,1200,2.79,18.75
2003.3.3,저녁식사,22.16606498,"꽈리고추찜,돈등심케찹조림,쌀밥,어묵양파볶음(K),열무된장무침,콩나물무국",5,-0.6,2358,10.5,0,1.5,33,0,67.5,1100,1.88,7.45
2003.3.4,저녁식사,28.0866426,"기장밥,꽁치양념구이,떡국,메추리알햄조림,미나리나물,미역줄기볶음",1.3,-2.4,702,5.3,1228,0,24,1145,50,1100,2.68,17.31
2003.3.5,저녁식사,26.20938628,"감자오이샐러드,깍두기(손칼),닭파인애플조림(부분),도토리묵말이,상추겉절이,쌀밥,진미고추장무침",3.6,0,358,6.4,1540,0,42,1206,55.8,1100,1.05,7.77
2003.3.6,저녁식사,20.2166065,"감자채볶음,곰탕,깍두기(손칼),두부양념장구이(K),방울토마토,쌀밥,오이,풋고추,쌈장",6.1,3.8,10,7.2,2029,29,57,0,84,1200,0.36,2.27
2003.3.7,저녁식사,18.62815884,"갈치구이,돈육두루치기,무우지무침,북어계란국,완두콩밥,월동초나물",4.5,1.9,2027,7.2,1333,10,67,1339,83.4,1300,1.41,5.14
2003.3.8,저녁식사,17.40072202,"미역국,버섯볶음,쇠고기장조림,쌀밥,오이양파무침,잔파생채(70)",4.3,2.2,632,8,1208,0,40,1201,57.6,1100,2.42,12.43
2003.3.9,저녁식사,20.14440433,"감자튀김(경양식),깍두기(손칼),더운야채,돈까스,스위트피클,쌀밥,크림스프(경양식)",4.1,1.3,457,8.8,1247,0,37,1253,55.6,1200,3.23,15
2003.3.10,저녁식사,26.06498195,"건취나물볶음,대구매운탕(가공),메추리알햄조림,쌀밥,오징어회무침,잔파김무침",4,1.1,552,7.7,1356,0,41,1358,53.8,1300,2.65,14.79
2003.3.11,저녁식사,26.42599278,"김치국,깍두기(손칼),돈육장조림,쌀밥,오징어부추전,콩나물무침,호박나물",4.5,0.2,617,8.2,1315,0,37,1319,55.3,1300,2.95,20.51
2003.3.12,저녁식사,22.31046931,"고추지된장무침,깍두기(손칼),닭개장,생선묵조림,쌀밥,요구르트,잡채",5.6,1.5,651,9.6,1514,0,39,1114,59.9,1100,2.46,17.29
2003.3.13,저녁식사,22.31046931,"냉이배추된장국,돌나물겉절이,숙주나물,쌀밥,자장소스,탕수육",6.6,2.2,648,11.6,1244,0,29,1252,56.5,1100,2.69,19.2
2003.3.14,저녁식사,19.566787,"갈치조림,감자채볶음,계란장조림,단배추겉절이,도토리묵말이,쌀밥",7.8,2,710,12.1,1426,0,46,1428,60,1300,1.72,10.2
2003.3.15,저녁식사,18.05054152,"돈육두루치기,부추겉절이,상추쌈,쌀밥,콩나물국,흑콩조림",7.4,6.1,721,8.9,0,3,59,3,83.3,1500,0.5,2.64
2003.3.16,저녁식사,22.81588448,"곰탕,깍두기(손칼),쌀밥,연근조림,오이,풋고추,쌈장",8.1,7.2,2339,8.8,1133,8.5,80,223,84.9,1400,0.5,3.01
2003.3.17,저녁식사,29.45848375,"꽈리고추찜,대구지리,미니돈까스,케찹소스,쌀밥,오이지무침,쭈꾸미볶음",6.1,4.4,2207,7.4,1212,4,74,1218,83.3,1200,0.86,3.02
2003.3.18,저녁식사,18.91696751,"김치전,깍두기(손칼),깻잎양파겉절이,사과,삼치우엉조림,쌀밥,육개장",7.5,2,650,12.1,1442,0,26,1336,48.5,1200,2.88,19.31
2003.3.19,저녁식사,29.53068592,"돈육장조림,동그랑땡구이,케찹,쌀밥,오징어무국,참나물겉절이,호박새우젓볶음",6.8,3,517,10.7,1315,0,31,0,47.9,1200,3.08,19.7
2003.3.20,저녁식사,22.81588448,"미나리나물,비빔된장,쇠고기야채볶음,쌀밥,열무겉절이,콩나물국",7.3,2.5,330,12.7,1332,0,37,1022,58.4,1200,3.06,16.67
2003.3.21,저녁식사,18.55595668,"곰탕,깍두기(손칼),깐마늘고추장무침,쌀밥,오이,풋고추,쌈장,요구르트,쥬키니호박전",8.3,2.9,621,12.9,1350,0,32,1340,55.8,1000,2.39,16.4
2003.3.22,저녁식사,17.18411552,"계란말이,고추지무침,꽁치양념구이,쌀밥,월동초나물,팽이북어국",9.1,6.4,2355,11.8,1307,0,43,1510,55.5,1200,3.16,22.05
2003.3.23,저녁식사,20.28880866,"더운야채,돈까스(D),스위트피클,쌀밥,야채샐러드,크림스프(경양식)",11.2,4.8,223,17.5,1516,0,21,1509,47.5,1100,2.54,16.6
2003.3.24,저녁식사,25.27075812,"김치잡채,쇠고기야채볶음,쌀밥,열무겉절이,오징어무국,풋고추된장무침",11.7,7.4,214,17.2,1518,0,30,1316,52.9,1300,2.78,14.54
2003.3.25,저녁식사,23.75451264,"갈치무조림,감자탕,깍두기(손칼),쌀밥,오이,당근,쌈장,요구르트,통마늘장아찌",12.1,8.3,444,16.3,1516,0,24,1657,43.3,1100,2.54,16.41
2003.3.26,저녁식사,18.98916968,"돈육고구마강정,두부찌개,만두국,쌀밥,우엉채조림",14.2,7.6,545,21.2,1558,0,15,1538,33.8,1100,2.8,19.93
2003.3.27,저녁식사,22.88808664,"곤약메추리알조림,근대나물,깻잎양념절임,꽁치양념구이,쌀밥,어묵무국",11.3,5.9,2400,15.8,1448,4.5,23,1714,47.5,1200,3.24,13.36
2003.3.28,저녁식사,22.16606498,"단무지채무침,도라지생채,돈육짜장볶음,북어해장국,쌀밥,탕수만두",8.4,3.6,609,13.5,1401,0,30,1329,53.5,1100,2.92,18.91
2003.3.29,저녁식사,18.33935018,"감자으깸샐러드,비후까스,스위트피클,쌀밥(사무직),야채샐러드,옥수수스프",9.8,4.7,643,15,1400,0,17,1256,53,1200,3.25,21.01
2003.3.30,저녁식사,20.07220217,"갈치구이,감자채볶음,김무침,비빔된장,쌀밥,열무김치",15,9.3,33,22.4,1628,0,17,1332,38,1200,2.15,13.62
2003.3.31,저녁식사,18.48375451,"부추겉절이,비빔만두,삼치엿장조림,쌀밥,오징어무국,우엉조림",14.9,11.6,2043,21.8,1257,0.3,50,137,66.9,1000,1.77,9.12
2003.4.1,저녁식사,21.66064982,"단배추겉절이,도토리묵양념장,쌀밥,월동초된장국,탕수어묵",11.3,10.2,2239,13,1344,0,56,1337,67.8,1100,2.79,15.58
2003.4.2,저녁식사,23.39350181,"계란찜,김치국,깍두기(손칼),쇠고기피망볶음,쌀밥,오이지무침,참나물겉절이",10.9,9.5,615,12.6,1156,0,55,1355,66.3,1200,1.75,12.83
2003.4.3,저녁식사,19.71119134,"감자수제비국,고등어양념장구이,볶은땅콩조림,쌀밥,찐고구마",11.7,9.8,502,15.5,1411,0,44,1341,60.5,1100,3.32,22.32
2003.4.4,저녁식사,19.49458484,"대구지리(가공),돈육장조림,돌나물겉절이,시금치나물,쌀밥,햄구이",10.7,8.5,2346,14.7,1302,0,42,1724,61.3,1200,2.7,12.61
2003.4.5,저녁식사,17.83393502,"단무지,닭다리버터구이(토막),쌀밥,알감자조림,짬뽕밥,천사채샐러드",10.4,7,427,13.9,1435,0,31,1610,49.9,1200,3.29,22.97
2003.4.6,저녁식사,26.13718412,"꽃게매운탕,돈육불고기,식혜,쌀밥,양배추생채,통도라지조림",15.7,7.8,30,24.5,1412,0,13,1413,31.9,1200,3.17,23.15
2003.4.7,저녁식사,26.64259928,"계란탕,김치잡채,도라지생채,요구르트,자장밥,탕수육",15.8,11.4,640,22.5,1330,1,12,1622,37.9,1000,2.72,15.18
2003.4.8,저녁식사,22.23826715,"고등어무조림,근대국,깍두기(손칼),맛살조림,배추겉절이,쌀밥,야채튀김",11.5,9.5,2349,14.3,1634,11.5,50,1640,78,1300,1.1,6.54
2003.4.9,저녁식사,21.15523466,"닭갈비,도토리묵말이,볶은땅콩조림,생선묵조림,쌀밥,열무겉절이",7.1,4.7,2301,9.5,0,0.9,65,1905,76,1500,0.61,3.67
2003.4.10,저녁식사,22.67148014,"돈육두루치기,시금치나물(90),찐만두,콩나물밥,팽이버섯국,호박나물",8.4,2.6,554,14.3,1443,0,34,1410,61.4,1200,3.37,24.34
2003.4.11,저녁식사,17.25631769,"김치볶음,깍두기(손칼),단배추달래생채,쇠고기당면볶음,쌀밥,어묵무국,연두부양념장",11.4,7.7,0,14.4,1635,0.5,64,120,77.6,1100,0.74,3.51
2003.4.12,저녁식사,16.96750903,"갈치찜,느타리버섯볶음,다시마채무침(무),쌀밥,육개장",17.8,12.4,613,24.9,1536,0,20,1836,51,1200,3.27,24
2003.4.13,저녁식사,21.66064982,"갈치호박조림,부추김무침,삼겹살구이2,상추,풋고추,쌈장,쌀밥,연근조림,콩나물국",16.2,11.5,556,22.2,1423,0,14,1229,31.5,1200,3.31,23.68
2003.4.14,저녁식사,25.63176895,"건미역오이초무침,깍두기(손칼),사골우거지탕,소방어무조림,쌀밥,알감자조림",14.8,12.1,2358,19.5,1349,0,30,144,52.1,1200,2.95,17.34
2003.4.15,저녁식사,24.0433213,"건취나물볶음,꽁치양념구이,달래양념장,돌나물겉절이,미역국,영양밥",16.1,9.6,558,22.1,1248,0,17,1449,43.1,1200,3.3,24.65
2003.4.16,저녁식사,25.84837545,"깍두기(손칼),닭곰탕,쌀밥,오이생채,오징어통회,풋고추된장무침",19.3,11.2,611,27.6,1451,0,15,1447,30.6,1200,3.29,24.3
2003.4.17,저녁식사,20.14440433,"건새우아욱국,두부강정,쇠불고기,쌀밥,치커리무생채,흑콩조림",21,13.9,533,29.4,1657,0,23,28,40.9,1200,3.37,25.19
2003.4.18,저녁식사,16.96750903,"가자미양념장구이,들깨무채국,미나리나물,쫄면야채무침,카레라이스",21,17.7,559,26.9,1443,7,36,1412,62.3,1100,3.29,21.55
2003.4.19,저녁식사,14.07942238,"달래된장찌개,도라지생채,도토리묵상추무침,돈육장조림,쌀밥,햄구이",10.2,9.2,2304,18.9,10,18.5,77,1817,87.4,1100,0.36,2.5
2003.4.20,저녁식사,19.49458484,"감자튀김(경양식),단무지,비후까스,쌀밥,양상치샐러드,옥수수스프",11.2,9,445,13.1,2238,13.5,70,2247,83.6,1400,1.03,5.46
2003.4.21,저녁식사,25.34296029,"갈치찜,감자탕,깍두기(손칼),깐마늘고추장무침,꽈리고추찜,쌀밥",11.6,9.3,536,14.2,1311,0,53,1226,64.9,1100,3.49,24.89
2003.4.22,저녁식사,21.08303249,"깐마늘고추장무침,닭불고기(180),부추전,북어무국,상추쌈,쌀밥",12.1,9.9,305,15.2,1219,0,44,1136,61.6,1100,3.09,15.05
2003.4.23,저녁식사,23.46570397,"돈육야채볶음,동태매운탕(가공),생선묵조림,쌀밥,참나물겉절이,통마늘장아찌",11.9,10.6,458,13.2,1939,30,71,0,87.5,1600,0.28,2.37
2003.4.24,저녁식사,19.7833935,"감자수제비국,김치볶음,깍두기(손칼),삼치무조림,쌀밥,통두부,양념장",14.4,12.1,612,16.9,1225,1,65,936,78.5,1100,3.19,18.9
2003.4.25,저녁식사,17.18411552,"꽁치양념구이,돌나물겉절이,소세지삼색볶음,쌀밥,어묵쑥갓무국,통도라지조림",12.3,11.7,2039,14,0,49,84,2301,90.3,1300,0.27,1.87
2003.4.26,저녁식사,15.7400722,"단무지,생선까스,쇠고기콩나물국1,연근조림,하이라이스(돈)",14.9,10.5,609,19.5,1426,0,50,1143,70.8,1100,3.32,24.34
2003.4.27,저녁식사,21.66064982,"계란탕,김치볶음밥,깍두기(손칼),떡볶이,찐만두,천사채샐러드,호박나물",20.4,14.2,345,28,1529,0,20,1346,46.9,1200,3.14,23.63
2003.4.28,저녁식사,24.98194946,"깍두기(손칼),도라지생채,미나리전(초고추장),생선묵조림,소방어무조림,순두부국,쌀밥",21.5,14.4,606,28.7,1424,0,20,1317,37.8,1200,3.44,25.87
2003.4.29,저녁식사,18.48375451,"근대나물,달래팽이된장국,닭조림(토막),쌀밥,야채튀김(쑥갓),우엉조림",16.5,12.3,2314,20.9,1417,32.5,33,619,70,1300,0.62,3.36
2003.4.30,저녁식사,19.566787,"곤약멸치조림,돈육강정,북어무국,쌀밥,오이양파무침,햄전",16.5,11.3,609,24.2,1535,0.5,14,1736,59.1,1200,3.35,26.26
2003.5.1,저녁식사,21.73285199,"떡국,마늘쫑지무침,메추리알조림,쌀밥,쑥갓나물,오징어회무침,포기김치2",18,9.3,538,26.4,1555,0,15,1650,37.5,1200,3.48,27.51
2003.5.2,저녁식사,19.63898917,"깍두기(손칼),꽃게매운탕,단배추겉절이,두부양념장구이,삼치엿장조림,쌀밥",21.4,15,440,28.4,1530,0,15,1448,36.8,1200,3.58,27.99
2003.5.3,저녁식사,16.24548736,"동태전,부추겉절이,소세지볶음,장터국밥,포기김치2",20.3,15.2,2355,28,1140,0,21,1127,50.3,1200,3.36,25.22
2003.5.4,저녁식사,17.25631769,"궁중떡볶이,양상치샐러드,요구르트,잔파생채(70),팽이버섯국,포기김치2,해물볶음밥",14.8,13.1,2118,17.2,1333,0,62,1307,76.9,1000,2.01,15.11
2003.5.5,저녁식사,19.06137184,"김치국,깍두기(손칼),느타리버섯볶음,돈육불고기,시금치나물,쌀밥,쫄면야채무침",14.4,12.7,2343,17.2,1519,0,59,1522,76.8,1400,2.48,15.53
2003.5.6,저녁식사,28.15884477,"깍두기(손칼),닭곰탕,맛살냉채,쌀밥,오징어젓무침,흑콩조림",14.5,12.7,0,16.2,1316,7,69,1318,84.9,1300,1.83,10.67
2003.5.7,저녁식사,19.13357401,"돈육마늘장조림,숙주미나리나물,쌀밥,어채볶음(굵은채),청경채겉절이,포기김치2,호박새우젓국",15.4,9.8,2152,22,916,33.5,75,920,88.6,800,1.09,4.28
2003.5.8,저녁식사,20.28880866,"깍두기(손칼),다시마채무침,닭갈비,생선묵조림,쌀밥,오징어무국",10.8,7.4,2357,14.5,1552,2.5,47,1618,68.5,1300,2.18,15.06
2003.5.9,저녁식사,25.70397112,"깐마늘고추장무침,들깨무채국,삼겹살구이2,상추쌈,쌀밥,쑥갓두부무침,포기김치2",11.4,5.6,530,17,1621,0,28,1628,56.9,1200,3.63,29.09
2003.5.10,저녁식사,19.20577617,"그린스프1,비후까스,스위트피클,쌀밥,양상치샐러드,요구르트,포기김치2",13.9,8.3,533,19.2,1513,0,36,1740,59.9,1300,3.38,26.53
2003.5.11,저녁식사,22.16606498,"깍두기(손칼),꽈리고추찜,도토리묵말이,돈육두루치기,소세지전,쌀밥,오이생채",14.2,10.1,526,18,1212,0,56,1018,74.9,1100,3.55,26.63
2003.5.12,저녁식사,24.90974729,"가자미무조림,돌나물겉절이,두부찌개,북어계란국,숙주나물,쌀밥,포기김치2",18.2,11.7,346,24.9,1451,0,39,1638,67.9,1100,3.31,25.36
2003.5.13,저녁식사,25.99277978,"김치국,깍두기(손칼),생선묵조림,쇠고기떡볶음,쌀밥,쑥갓양파겉절이,호박새우젓볶음",19.9,14.4,604,26.5,1347,0,50,1424,69.5,1300,2.64,20.06
2003.5.14,저녁식사,19.7833935,"감자수제비국,맛살조림,미역줄기볶음,삼치엿장조림,쌀밥,잔파김무침,포기김치2",15.7,12.8,2109,19.5,0,3.5,73,247,83.6,1300,1.01,6.49
2003.5.15,저녁식사,22.02166065,"깻잎양념절임,쇠고기메추리알조림,쌀밥,어채볶음(굵은채),오이생채,팽이버섯국,포기김치2",13.9,12.2,503,15.8,1142,4.5,69,1149,78.8,1100,1.54,8.35
2003.5.16,저녁식사,17.32851986,"고등어구이,다시마채무침,닭개장,도토리묵양념장,쌀밥,포기김치2,흑콩조림",14.5,12,2325,17.4,1417,0,57,1342,75.1,1100,3.26,24.33
2003.5.17,저녁식사,13.06859206,"건새우호박국,김치볶음밥,깍두기(손칼),소세지볶음,양상치샐러드,탕수어묵",15.2,10.1,531,20.3,1615,0,32,1817,62.8,1100,3.37,27.23
2003.5.18,저녁식사,23.8267148,"단무지,돈까스,쌀밥(사무직),요구르트,으깬감자샐러드,크림스프(경양식),포기김치2",16,13.2,355,18.6,1441,0,52,840,72.3,1300,2.84,21.64
2003.5.19,저녁식사,23.89891697,"가자미양념장구이,생선묵조림,쌀밥,열무된장무침,육개장,포기김치2",16.8,14.4,210,19.5,1235,0,56,1237,77.4,1200,3.38,23.06
