X,중국생산,중국수입,미국수입,알루미늄,전기동,연,아연,주석,니켈,브라질수출,BHP,RIO,VALE,원자재,중국환율,철광석_가격,브라질환율,호주환율,중국재고
2013.7.1,12275.1,7314.303,2286567 ,1768 ,6893 ,2048 ,1836 ,19589 ,13705 ,NA,60.68,42.16,13.29,NA,6.17,125.3,2.26,0.92,73.04
2013.7.1,12275.1,7314.303,2286567 ,1768 ,6893 ,2048 ,1836 ,19589 ,13705 ,NA,62.6,44.35,13.82,NA,6.17,133.13,2.23,0.92,72.03
2013.7.1,12275.1,7314.303,2286567 ,1768 ,6893 ,2048 ,1836 ,19589 ,13705 ,NA,64.29,45.4,14.39,NA,6.17,131.2,2.24,0.92,72.66
2013.7.1,12275.1,7314.303,2286567 ,1768 ,6893 ,2048 ,1836 ,19589 ,13705 ,NA,63.48,46.2,13.75,NA,6.18,131.7,2.28,0.9,72.41
2013.8.1,13134.7,6900.812,2611215 ,1815 ,7182 ,2173 ,1895 ,21629 ,14282 ,NA,67.68,49.81,15.51,NA,6.17,133.8,2.29,0.9,71.03
2013.8.1,13134.7,6900.812,2611215 ,1815 ,7182 ,2173 ,1895 ,21629 ,14282 ,NA,67.54,48.37,15.37,NA,6.17,140.6,2.33,0.91,71.48
2013.8.1,13134.7,6900.812,2611215 ,1815 ,7182 ,2173 ,1895 ,21629 ,14282 ,NA,64.55,47.68,15.37,NA,6.17,138.9,2.41,0.9,71.04
2013.8.1,13134.7,6900.812,2611215 ,1815 ,7182 ,2173 ,1895 ,21629 ,14282 ,NA,63.28,45.11,14.41,NA,6.17,139,2.37,0.9,72.99
2013.9.1,13784.5,7458.345,2557970 ,1760 ,7161 ,2088 ,1848 ,22747 ,13780 ,NA,64.93,48.11,15.62,NA,6.17,137.7,2.35,0.91,73.62
2013.9.1,13784.5,7458.345,2557970 ,1760 ,7161 ,2088 ,1848 ,22747 ,13780 ,NA,66.58,49.99,16.04,NA,6.16,135.4,2.28,0.93,72.55
2013.9.1,13784.5,7458.345,2557970 ,1760 ,7161 ,2088 ,1848 ,22747 ,13780 ,NA,67.37,49.36,16.18,NA,6.16,132.1,2.23,0.94,71.89
2013.9.1,13784.5,7458.345,2557970 ,1760 ,7161 ,2088 ,1848 ,22747 ,13780 ,NA,67.15,49.48,15.6,NA,6.15,133.3,2.23,0.94,72.33
2013.9.1,13784.5,7458.345,2557970 ,1760 ,7161 ,2088 ,1848 ,22747 ,13780 ,NA,66.51,48.59,15.61,NA,6.15,131.5,2.21,0.94,76.52
2013.10.1,13548.4,6783.43,2813240 ,1812 ,7189 ,2111 ,1883 ,23128 ,14070 ,NA,67.15,49.28,15.51,NA,6.14,132.4,2.2,0.94,77.37
2013.10.1,13548.4,6783.43,2813240 ,1812 ,7189 ,2111 ,1883 ,23128 ,14070 ,NA,69.6,51.87,16.11,NA,6.14,135,2.17,0.96,80.36
2013.10.1,13548.4,6783.43,2813240 ,1812 ,7189 ,2111 ,1883 ,23128 ,14070 ,NA,71.93,52.26,16.08,NA,6.13,133.9,2.18,0.96,79.67
2013.10.1,13548.4,6783.43,2813240 ,1812 ,7189 ,2111 ,1883 ,23128 ,14070 ,NA,70.96,51.17,16.38,NA,6.14,132.8,2.21,0.95,82.16
2013.11.1,13855.8,7784.395,2351924 ,1749 ,7066 ,2090 ,1869 ,22857 ,13729 ,NA,71.86,53.17,15.98,NA,6.14,137.5,2.29,0.95,83.98
2013.11.1,13855.8,7784.395,2351924 ,1749 ,7066 ,2090 ,1869 ,22857 ,13729 ,NA,71.37,52.5,15.77,NA,6.14,137.6,2.33,0.93,85.51
2013.11.1,13855.8,7784.395,2351924 ,1749 ,7066 ,2090 ,1869 ,22857 ,13729 ,NA,69.04,51.73,15.46,NA,6.13,136.5,2.28,0.93,87.43
2013.11.1,13855.8,7784.395,2351924 ,1749 ,7066 ,2090 ,1869 ,22857 ,13729 ,NA,68.22,53.05,15.32,NA,6.13,136,2.31,0.91,88.66
2013.12.1,13233.8,7337.772,2274129 ,1737 ,7203 ,2133 ,1974 ,22835 ,13915 ,NA,67.53,53.84,15.25,NA,6.13,138.7,2.36,0.91,87.35
2013.12.1,13233.8,7337.772,2274129 ,1737 ,7203 ,2133 ,1974 ,22835 ,13915 ,NA,63.74,51.78,14.67,NA,6.11,138.9,2.33,0.9,88.57
2013.12.1,13233.8,7337.772,2274129 ,1737 ,7203 ,2133 ,1974 ,22835 ,13915 ,NA,65.99,53.83,14.43,NA,6.11,134.7,2.34,0.89,88.62
2013.12.1,13233.8,7337.772,2274129 ,1737 ,7203 ,2133 ,1974 ,22835 ,13915 ,NA,67.41,55.63,15.23,NA,6.11,133.83,2.35,0.89,89.3
2013.12.1,13233.8,7337.772,2274129 ,1737 ,7203 ,2133 ,1974 ,22835 ,13915 ,NA,67.52,55.11,14.33,NA,6.1,135,2.37,0.89,91.44
2014.1.1,9788.3,8683.461,2907755 ,1726 ,7295 ,2149 ,2038 ,22072 ,14079 ,NA,65.8,51.94,13.72,NA,6.11,134.2,2.38,0.89,96.09
2014.1.1,9788.3,8683.461,2907755 ,1726 ,7295 ,2149 ,2038 ,22072 ,14079 ,NA,67.05,55.04,13.79,NA,6.1,131.1,2.35,0.89,98.12
2014.1.1,9788.3,8683.461,2907755 ,1726 ,7295 ,2149 ,2038 ,22072 ,14079 ,NA,62.99,51.18,12.9,NA,6.11,125.7,2.38,0.88,102.86
2014.1.1,9788.3,8683.461,2907755 ,1726 ,7295 ,2149 ,2038 ,22072 ,14079 ,NA,63.95,53.15,13.6,NA,6.11,125.5,2.42,0.88,106.12
2014.2.1,8841,6124.212,2980898 ,1694 ,7152 ,2110 ,2035 ,22809 ,14195 ,NA,65.65,56.17,14.38,NA,6.11,124.2,2.4,0.89,107.2
2014.2.1,8841,6124.212,2980898 ,1694 ,7152 ,2110 ,2035 ,22809 ,14195 ,NA,68.32,58.9,14.66,NA,6.11,122.9,2.4,0.9,106.01
2014.2.1,8841,6124.212,2980898 ,1694 ,7152 ,2110 ,2035 ,22809 ,14195 ,NA,70.64,59.69,14.73,NA,6.11,125.1,2.38,0.9,108.57
2014.2.1,8841,6124.212,2980898 ,1694 ,7152 ,2110 ,2035 ,22809 ,14195 ,NA,68.9,57.3,14.17,NA,6.12,119.2,2.34,0.9,110.65
2014.3.1,12133.8,7396.186,2933841 ,1704 ,6668 ,2056 ,2014 ,23098 ,15660 ,NA,66.71,53.39,13.04,NA,6.12,116.6,2.33,0.9,111.93
2014.3.1,12133.8,7396.186,2933841 ,1704 ,6668 ,2056 ,2014 ,23098 ,15660 ,NA,64.24,52.11,12.49,NA,6.13,109.2,2.36,0.9,111.58
