일자	식사명	수량(아침식사2 값 중복)	식사내용
2003.3.1	점심식사	31.19133574	"골뱅이야채무침,새우맛살튀김,쌀밥(사무직),열무겉절이,칼국수"
2003.3.2	점심식사	33.35740072	"갈비탕,깍두기(손칼),두부달걀전,생선묵조림,쌀밥,오이,풋고추,쌈장"
2003.3.3	점심식사	58.48375451	"계란찜,냉이배추된장국,삼치엿장조림,시금치나물,쌀밥,콩나물무침"
2003.3.4	점심식사	59.35018051	"계란탕,깍두기(손칼),달래무생채,새우볶음밥,오징어회무침,요구르트,자장소스"
2003.3.5	점심식사	52.63537906	"마늘쫑지무침,새알미역국,새우동그랑땡,쭈꾸미볶음,흑미밥"
2003.3.6	점심식사	40.07220217	"도라지오이무침,쇠고기야채볶음,시금치된장국,쌀밥,양상치샐러드(K),카레라이스"
2003.3.7	점심식사	49.81949458	"깍두기(손칼),쌀밥,육개장,잡채,풋고추된장무침,해물파전"
2003.3.8	점심식사	42.74368231	"닭다리버터구이,돌나물겉절이,사과,쌀밥(사무직),잔치국수"
2003.3.9	점심식사	36.75090253	"계란말이,근대국,단무지잔파무침,마카로니샐러드,쌀밥,조기찜"
2003.3.10	점심식사	53.93501805	"배추된장국,보리밥,비빔만두,삼치엿장조림(D),열무겉절이,우엉조림"
2003.3.11	점심식사	56.53429603	"단배추겉절이,닭야채찜,도토리묵양념장,쌀밥,어묵무국,어채고추장조림"
2003.3.12	점심식사	56.02888087	"감자간장조림,꽁치양념구이,두부양념장구이,떡국,쌀밥,오이생채"
2003.3.13	점심식사	56.67870036	"계란찜,소면사리,쇠고기미역국,쌀밥,잔파김무침,쭈꾸미볶음"
2003.3.14	점심식사	56.31768953	"건새우아욱국,멸치볶음,쇠고기피망볶음,쌀밥,콩나물무침"
2003.3.15	점심식사	40.28880866	"귤,산채비빔밥,팽이버섯국"
2003.3.16	점심식사	33.71841155	"맛살꽈리조림,물만두국,쇠고기장조림,참나물겉절이,호박나물,흑콩밥"
2003.3.17	점심식사	57.68953069	"김치국,깍두기(손칼),돌나물겉절이,쇠고기브로컬리볶음,쌀밥,알감자조림(D),진미고추장무침"
2003.3.18	점심식사	61.73285199	"고구마맛탕,돈육두루치기,맛살조림,미역국,부추김무침,쌀밥"
2003.3.19	점심식사	63.10469314	"닭조림(부분),물만두국,쌀밥,양상치샐러드,오이양파무침"
2003.3.20	점심식사	59.566787	"계란찜,단무지채무침,미역줄기볶음,짬뽕밥,후루츠탕수육"
2003.3.21	점심식사	51.62454874	"냉이배추된장국,두부양념장구이,소방어무조림,쌀밥,콩나물무침,흑콩조림"
2003.3.22	점심식사	40.36101083	"메추리알햄조림,쌀밥,쌀밥(사무직),잔치국수,잔파김무침"
2003.3.23	점심식사	34.36823105	"깻잎양파겉절이,떡볶이,멕시칸샐러드,쌀밥,유부된장국,해물볶음밥"
2003.3.24	점심식사	59.49458484	"배추된장국,삼치무조림,쌀밥,야채튀김,어채고추장조림,콩나물무침"
2003.3.25	점심식사	56.82310469	"닭야채찜,도토리묵말이,볶은땅콩조림,쌀밥,참나물겉절이,호박나물"
2003.3.26	점심식사	54.00722022	"가자미튀김,쌀밥,열무겉절이,잔파맛살무침,콩나물밥,팽이버섯국"
2003.3.27	점심식사	43.6101083	"달래된장찌개,동그랑땡구이,케찹,미나리무생채,쇠고기떡볶음,쌀밥,연근조림"
2003.3.28	점심식사	56.3898917	"기장밥,깍두기(손칼),닭곰탕,두부양념장구이,식혜,오징어회무침,풋고추,쌈장"
2003.3.29	점심식사	40.50541516	"부추전,쌀밥(사무직),칼국수,햄옥수수볶음"
2003.3.30	점심식사	28.15884477	"갈치구이,꽈리고추찜,생선묵조림,쌀밥,오이양파무침,콩나물국"
2003.3.31	점심식사	54.22382671	"돈육두루치기,수정과,쌀밥,연근카레튀김,장터국밥"
2003.4.1	점심식사	46.42599278	"꽁치소금구이,달래무생채,미역국,콩나물잡채,흑미밥"
2003.4.2	점심식사	51.98555957	"갈치조림,깻잎양념절임,보리밥,북어계란국,비빔된장,수정과"
2003.4.3	점심식사	54.44043321	"물미역오이무침,쌀밥,아욱국,쭈꾸미볶음,참치김치볶음,통두부,양념장"
2003.4.4	점심식사	43.17689531	"꽁치양념구이,도라지풋마늘무침,부추전,쌀밥,어묵무국,잔멸치볶음"
2003.4.5	점심식사	26.28158845	"비빔밥,사과,팽이버섯국"
2003.4.6	점심식사	28.15884477	"돌나물겉절이,쇠고기맑은국,쌀밥,양상치샐러드,오징어회무침,카레라이스"
2003.4.7	점심식사	52.20216606	"꽈리고추찜,닭불고기(180),쌀밥,오이양파무침,콩나물국,표고피망볶음"
2003.4.8	점심식사	49.09747292	"계란찜,동태매운탕(가공),쇠고기야채볶음,쌀밥,우엉채조림,잔파생채"
2003.4.9	점심식사	51.26353791	"곰탕,깍두기(손칼),대추차,쌀밥,알감자조림,오이,풋고추,쌈장,오징어젓무침"
2003.4.10	점심식사	49.96389892	"감자채볶음,달래된장찌개,메추리알조림,생선까스,쌀밥,참나물겉절이"
2003.4.11	점심식사	49.96389892	"건새우호박국,불고기낙지찌개,소면사리,쌀밥,잔파맛살무침,콩나물무침"
2003.4.12	점심식사	37.40072202	"도라지풋마늘무침,떡만두국,오징어볼탕수"
2003.4.13	점심식사	30.90252708	"꽁치소금구이,돌나물겉절이,동그랑땡구이,케찹,마카로니샐러드,새알미역국,쌀밥"
