"","날짜","철광석_가격","미국_수입량","알루미늄","전기동","연","아연","주석","니켈","BHP_close","RIO_close","VALE_close","PDS.원자재.지수","USD.CNY..미국.달러...중국.인민폐.","USD.BRL..미국.달러...브라질.레알.","AUD.USD..호주.달러...미국.달러.","inventory.index"
"1","2014-12-29","70.6","3299945","1913","6403","1936","2172","19826","15919","47.54","45.72","7.94","100","6.2","2.67","0.81","98.24"
"2","2015-01-05","71.17","3985719","1808","5816","1829","2111","19463","14771","46.93","45.53","8.55","98.22","6.21","2.68","0.81","98.7"
"3","2015-01-12","68.92","3985719","1808","5816","1829","2111","19463","14771","46.14","44.2","8.41","93.71","6.2","2.64","0.82","98.91"
"4","2015-01-19","67.45","3985719","1808","5816","1829","2111","19463","14771","45.5","43.08","7.85","93.25","6.22","2.6","0.81","98.22"
"5","2015-01-26","63.12","3985719","1808","5816","1829","2111","19463","14771","46.33","44.13","7.03","93.87","6.25","2.61","0.79","99.77"
"6","2015-02-02","62.47","3367058","1821","5702","1805","2103","18292","14535","48.29","46.24","7.35","95.68","6.25","2.74","0.78","98.48"
"7","2015-02-09","62.24","3367058","1821","5702","1805","2103","18292","14535","51.19","49.37","8.05","99.94","6.24","2.83","0.78","96.69"
"8","2015-02-16","63.91","3367058","1821","5702","1805","2103","18292","14535","50.48","49.94","7.83","103.17","6.26","2.84","0.78",NA
"9","2015-02-23","63.06","3367058","1821","5702","1805","2103","18292","14535","52.52","49.33","7.42","102.72","6.26","2.87","0.78","98.29"
"10","2015-03-02","61.25","3280348","1773","5926","1785","2029","17461","13746","49.35","44.23","6.42","103.33","6.27","2.98","0.78","99.38"
"11","2015-03-09","57.99","3280348","1773","5926","1785","2029","17461","13746","44.55","41.9","5.82","102.29","6.26","3.15","0.77","100.28"
"12","2015-03-16","56.2","3280348","1773","5926","1785","2029","17461","13746","48.06","43.58","6.26","99.69","6.23","3.24","0.77","99.19"
"13","2015-03-23","55","3280348","1773","5926","1785","2029","17461","13746","47.1","41.88","5.67","99.44","6.21","3.18","0.78","100.13"
"14","2015-03-30","50.16","3280348","1773","5926","1785","2029","17461","13746","45.56","41.2","5.76","100.86","6.19","3.17","0.76","97.24"
"15","2015-04-06","47.81","3176363","1817","6029","2000","2207","15986","12783","45.82","41.45","6.04","100.93","6.2","3.09","0.77","97.37"
"16","2015-04-13","50.13","3176363","1817","6029","2000","2207","15986","12783","46.44","42.02","5.87","102.63","6.21","3.06","0.77","97.58"
"17","2015-04-20","53.86","3176363","1817","6029","2000","2207","15986","12783","51.04","45.72","7.92","106.4","6.19","3","0.78","97.16"
"18","2015-04-27","58.07","3176363","1817","6029","2000","2207","15986","12783","51.92","45.87","8.07","108.56","6.21","2.97","0.79","95.07"
"19","2015-05-04","59.78","3082842","1805","6301","2004","2290","15827","13509","50.8","46.11","7.63","110.14","6.21","3.04","0.79","89.91"
"20","2015-05-11","62.42","3082842","1805","6301","2004","2290","15827","13509","51.55","46.13","7.12","110.29","6.21","3.02","0.8","86.56"
"21","2015-05-18","58.83","3082842","1805","6301","2004","2290","15827","13509","45.87","44.88","6.57","110.02","6.2","3.04","0.79","84.92"
"22","2015-05-25","62.25","3082842","1805","6301","2004","2290","15827","13509","44.63","43.77","6.3","107.68","6.2","3.15","0.77","83.31"
"23","2015-06-01","63.89","2812686","1684","5834","1836","2088","15015","12780","42.91","43.63","6.51","106.16","6.2","3.15","0.77","82.73"
"24","2015-06-08","64.95","2812686","1684","5834","1836","2088","15015","12780","43.3","44.04","6.81","105.89","6.21","3.11","0.77","80.74"
"25","2015-06-15","62.36","2812686","1684","5834","1836","2088","15015","12780","43.81","43.16","6.51","106.99","6.21","3.09","0.78","79.62"
"26","2015-06-22","61.62","2812686","1684","5834","1836","2088","15015","12780","42.69","42.84","6.23","106.15","6.21","3.1","0.77","78.71"
"27","2015-06-29","58.15","2812686","1684","5834","1836","2088","15015","12780","41.29","41.04","5.85","105.47","6.21","3.12","0.76","81.77"
"28","2015-07-06","49.11","2980650","1638","5457","1762","2002","14962","11386","39.47","39.14","5.43","102.39","6.21","3.19","0.75","82.01"
"29","2015-07-13","50.39","2980650","1638","5457","1762","2002","14962","11386","39.56","40.35","5.46","100.45","6.21","3.15","0.74","81.15"
"30","2015-07-20","51.88","2980650","1638","5457","1762","2002","14962","11386","36.3","37.39","5.05","98.67","6.21","3.25","0.74","81.75"
"31","2015-07-27","54.15","2980650","1638","5457","1762","2002","14962","11386","38.37","38.62","5.26","96.28","6.21","3.37","0.73","80.68"
"32","2015-08-03","56.03","2777241","1540","5089","1693","1810","15229","10342","38.64","39.8","5.28","93.42","6.21","3.49","0.74","81.56"
"33","2015-08-10","56.57","2777241","1540","5089","1693","1810","15229","10342","37.88","38.59","5.23","92.07","6.34","3.48","0.74","81.67"
"34","2015-08-17","56.39","2777241","1540","5089","1693","1810","15229","10342","34.68","35.99","4.75","90.63","6.39","3.48","0.73","81.04"
"35","2015-08-24","54.07","2777241","1540","5089","1693","1810","15229","10342","36.69","36.6","4.83","86.2","6.4","3.58","0.71","80.59"
"36","2015-08-31","56.5","2777241","1540","5089","1693","1810","15229","10342","33.75","34.23","4.73","88.69","6.36","3.73","0.7","79.94"
"37","2015-09-07","57.87","2571183","1589","5208","1682","1719","15481","9898","34.07","37.21","4.98","88.97","6.37","3.83","0.7","81.25"
"38","2015-09-14","57.53","2571183","1589","5208","1682","1719","15481","9898","34.6","35.52","4.98","88.68","6.37","3.87","0.72","82.9"
"39","2015-09-21","56.45","2571183","1589","5208","1682","1719","15481","9898","31.87","33.6","4.52","88.07","6.38","4.02","0.7","85.52"
"40","2015-09-28","55.68","2571183","1589","5208","1682","1719","15481","9898","33.06","34.78","4.48","87.59","6.36","4.01","0.7",NA
"41","2015-10-05","54.28","2758483","1524","5223","1725","1728","15848","10344","37.76","39.74","5.48","88.49","6.35","3.84","0.72","80.93"
"42","2015-10-12","54.84","2758483","1524","5223","1725","1728","15848","10344","36.06","38.36","4.79","90.61","6.34","3.84","0.73","84.27"
"43","2015-10-19","52.56","2758483","1524","5223","1725","1728","15848","10344","35.75","38.29","4.73","88.46","6.35","3.91","0.72","83.87"
"44","2015-10-26","50.39","2758483","1524","5223","1725","1728","15848","10344","32.89","36.51","4.36","87.02","6.35","3.88","0.72","84.45"
"45","2015-11-02","48.94","2225866","1466","4808","1616","1582","14743","9232","30.75","34.72","4.14","87.23","6.34","3.8","0.71","87.11"
"46","2015-11-09","48.19","2225866","1466","4808","1616","1582","14743","9232","28.41","34.24","3.97","85.71","6.36","3.79","0.71","87.13"
"47","2015-11-16","46","2225866","1466","4808","1616","1582","14743","9232","29.1","34.68","3.8","83.42","6.38","3.78","0.71","86.58"
"48","2015-11-23","44.24","2225866","1466","4808","1616","1582","14743","9232","26.98","33.11","3.57","83.51","6.39","3.75","0.72","89.17"
"49","2015-11-30","41.42","2225866","1466","4808","1616","1582","14743","9232","26.48","31.75","3.28","83.04","6.4","3.82","0.73","91.49"
"50","2015-12-07","38.72","2125158","1494","4629","1701","1522","14702","8692","23.81","28.53","3.15","81.08","6.43","3.8","0.72","92.09"
"51","2015-12-14","39.43","2125158","1494","4629","1701","1522","14702","8692","23.93","27.38","3.2","78.25","6.48","3.91","0.72","94.29"
"52","2015-12-21","40.77","2125158","1494","4629","1701","1522","14702","8692","26.14","29.72","3.3","77.37","6.47","3.97","0.72","97.43"
"53","2015-12-28","42.65","2125158","1494","4629","1701","1522","14702","8692","25.76","29.12","3.29","78.43","6.49","3.91","0.73","96.08"
"54","2016-01-04","43.03","2402427","1479","4463","1647","1512","13777","8483","21.96","25.07","2.6","77.45","6.54","4.03","0.71","99.06"
"55","2016-01-11","40.67","2402427","1479","4463","1647","1512","13777","8483","20.19","23.62","2.37","74.12","6.58","4.03","0.7","100.63"
"56","2016-01-18","42.11","2402427","1479","4463","1647","1512","13777","8483","21.48","23.77","2.27","70.23","6.57","4.09","0.69","100.05"
"57","2016-01-25","41.74","2402427","1479","4463","1647","1512","13777","8483","21.91","24.65","2.45","71.84","6.54","4.07","0.7","98.41"
