"","X","중국_생산량.10000톤.","X.1","중국_수입량.10000톤.","X.2","미국_수입량","LME_date...톤.","알루미늄","전기동","연","아연","주석","니켈","X.3","브라질_수출량.1000톤.","공급사_주가","BHP_close","RIO_close","VALE_close","날짜","PDS.원자재.지수","날짜.1","USD.RMB_환율","기준일","철광석_가격","날짜.2","USD.BRL..미국.달러...브라질.레알.","날짜.3","AUD.USD..호주.달러...미국.달러.","중국_재고량","inventory.index"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2013-07-01","12275.1","2013-07-01","7314.303","2013-07-01","2,286,567","2013-07-01","1768","6,893","2,048","1,836","19,589","13,705","2013-07-01",NA,"2013-07-08","60.68","42.16","13.29","",NA,"2013-07-08","6.17","2013-07-12","125.3","2013-07-08","2.26","2013-07-08","0.92","2013-07-12","73.04"
"3","2013-07-01","12275.1","2013-07-01","7314.303","2013-07-01","2,286,567","2013-07-01","1768","6,893","2,048","1,836","19,589","13,705","2013-07-01",NA,"2013-07-15","62.6","44.35","13.82","",NA,"2013-07-15","6.17","2013-07-19","133.13","2013-07-15","2.23","2013-07-15","0.92","2013-07-19","72.03"
"4","2013-07-01","12275.1","2013-07-01","7314.303","2013-07-01","2,286,567","2013-07-01","1768","6,893","2,048","1,836","19,589","13,705","2013-07-01",NA,"2013-07-22","64.29","45.4","14.39","",NA,"2013-07-22","6.17","2013-07-26","131.2","2013-07-22","2.24","2013-07-22","0.92","2013-07-26","72.66"
"5","2013-07-01","12275.1","2013-07-01","7314.303","2013-07-01","2,286,567","2013-07-01","1768","6,893","2,048","1,836","19,589","13,705","2013-07-01",NA,"2013-07-29","63.48","46.2","13.75","",NA,"2013-07-29","6.18","2013-08-02","131.7","2013-07-29","2.28","2013-07-29","0.9","2013-08-02","72.41"
"6","2013-08-01","13134.7","2013-08-01","6900.812","2013-08-01","2,611,215","2013-08-01","1815","7,182","2,173","1,895","21,629","14,282","2013-08-01",NA,"2013-08-05","67.68","49.81","15.51","",NA,"2013-08-05","6.17","2013-08-09","133.8","2013-08-05","2.29","2013-08-05","0.9","2013-08-09","71.03"
"7","2013-08-01","13134.7","2013-08-01","6900.812","2013-08-01","2,611,215","2013-08-01","1815","7,182","2,173","1,895","21,629","14,282","2013-08-01",NA,"2013-08-12","67.54","48.37","15.37","",NA,"2013-08-12","6.17","2013-08-16","140.6","2013-08-12","2.33","2013-08-12","0.91","2013-08-16","71.48"
"8","2013-08-01","13134.7","2013-08-01","6900.812","2013-08-01","2,611,215","2013-08-01","1815","7,182","2,173","1,895","21,629","14,282","2013-08-01",NA,"2013-08-19","64.55","47.68","15.37","",NA,"2013-08-19","6.17","2013-08-23","138.9","2013-08-19","2.41","2013-08-19","0.9","2013-08-23","71.04"
"9","2013-08-01","13134.7","2013-08-01","6900.812","2013-08-01","2,611,215","2013-08-01","1815","7,182","2,173","1,895","21,629","14,282","2013-08-01",NA,"2013-08-26","63.28","45.11","14.41","",NA,"2013-08-26","6.17","2013-08-30","139","2013-08-26","2.37","2013-08-26","0.9","2013-08-30","72.99"
"10","2013-09-01","13784.5","2013-09-01","7458.345","2013-09-01","2,557,970","2013-09-01","1,760","7,161","2,088","1,848","22,747","13,780","2013-09-01",NA,"2013-09-02","64.93","48.11","15.62","",NA,"2013-09-02","6.17","2013-09-06","137.7","2013-09-02","2.35","2013-09-02","0.91","2013-09-06","73.62"
"11","2013-09-01","13784.5","2013-09-01","7458.345","2013-09-01","2,557,970","2013-09-01","1,760","7,161","2,088","1,848","22,747","13,780","2013-09-01",NA,"2013-09-09","66.58","49.99","16.04","",NA,"2013-09-09","6.16","2013-09-13","135.4","2013-09-09","2.28","2013-09-09","0.93","2013-09-13","72.55"
"12","2013-09-01","13784.5","2013-09-01","7458.345","2013-09-01","2,557,970","2013-09-01","1,760","7,161","2,088","1,848","22,747","13,780","2013-09-01",NA,"2013-09-16","67.37","49.36","16.18","",NA,"2013-09-16","6.16","2013-09-20","132.1","2013-09-16","2.23","2013-09-16","0.94","2013-09-20","71.89"
"13","2013-09-01","13784.5","2013-09-01","7458.345","2013-09-01","2,557,970","2013-09-01","1,760","7,161","2,088","1,848","22,747","13,780","2013-09-01",NA,"2013-09-23","67.15","49.48","15.6","",NA,"2013-09-23","6.15","2013-09-27","133.3","2013-09-23","2.23","2013-09-23","0.94","2013-09-27","72.33"
"14","2013-09-01","13784.5","2013-09-01","7458.345","2013-09-01","2,557,970","2013-09-01","1,760","7,161","2,088","1,848","22,747","13,780","2013-09-01",NA,"2013-09-30","66.51","48.59","15.61","",NA,"2013-09-30","6.15","2013-10-04","131.5","2013-09-30","2.21","2013-09-30","0.94","2013-10-11","76.52"
"15","2013-10-01","13548.4","2013-10-01","6783.43","2013-10-01","2,813,240","2013-10-01","1,812","7,189","2,111","1,883","23,128","14,070","2013-10-01",NA,"2013-10-07","67.15","49.28","15.51","",NA,"2013-10-07","6.14","2013-10-11","132.4","2013-10-07","2.2","2013-10-07","0.94","2013-10-18","77.37"
"16","2013-10-01","13548.4","2013-10-01","6783.43","2013-10-01","2,813,240","2013-10-01","1,812","7,189","2,111","1,883","23,128","14,070","2013-10-01",NA,"2013-10-14","69.6","51.87","16.11","",NA,"2013-10-14","6.14","2013-10-18","135","2013-10-14","2.17","2013-10-14","0.96","2013-10-25","80.36"
"17","2013-10-01","13548.4","2013-10-01","6783.43","2013-10-01","2,813,240","2013-10-01","1,812","7,189","2,111","1,883","23,128","14,070","2013-10-01",NA,"2013-10-21","71.93","52.26","16.08","",NA,"2013-10-21","6.13","2013-10-25","133.9","2013-10-21","2.18","2013-10-21","0.96","2013-11-01","79.67"
"18","2013-10-01","13548.4","2013-10-01","6783.43","2013-10-01","2,813,240","2013-10-01","1,812","7,189","2,111","1,883","23,128","14,070","2013-10-01",NA,"2013-10-28","70.96","51.17","16.38","",NA,"2013-10-28","6.14","2013-11-01","132.8","2013-10-28","2.21","2013-10-28","0.95","2013-11-08","82.16"
"19","2013-11-01","13855.8","2013-11-01","7784.395","2013-11-01","2,351,924","2013-11-01","1,749","7,066","2,090","1,869","22,857","13,729","2013-11-01",NA,"2013-11-04","71.86","53.17","15.98","",NA,"2013-11-04","6.14","2013-11-08","137.5","2013-11-04","2.29","2013-11-04","0.95","2013-11-15","83.98"
"20","2013-11-01","13855.8","2013-11-01","7784.395","2013-11-01","2,351,924","2013-11-01","1,749","7,066","2,090","1,869","22,857","13,729","2013-11-01",NA,"2013-11-11","71.37","52.5","15.77","",NA,"2013-11-11","6.14","2013-11-15","137.6","2013-11-11","2.33","2013-11-11","0.93","2013-11-22","85.51"
"21","2013-11-01","13855.8","2013-11-01","7784.395","2013-11-01","2,351,924","2013-11-01","1,749","7,066","2,090","1,869","22,857","13,729","2013-11-01",NA,"2013-11-18","69.04","51.73","15.46","",NA,"2013-11-18","6.13","2013-11-22","136.5","2013-11-18","2.28","2013-11-18","0.93","2013-11-29","87.43"
"22","2013-11-01","13855.8","2013-11-01","7784.395","2013-11-01","2,351,924","2013-11-01","1,749","7,066","2,090","1,869","22,857","13,729","2013-11-01",NA,"2013-11-25","68.22","53.05","15.32","",NA,"2013-11-25","6.13","2013-11-29","136","2013-11-25","2.31","2013-11-25","0.91","2013-12-06","88.66"
"23","2013-12-01","13233.8","2013-12-01","7337.772","2013-12-01","2,274,129","2013-12-01","1,737","7,203","2,133","1,974","22,835","13,915","2013-12-01",NA,"2013-12-02","67.53","53.84","15.25","",NA,"2013-12-02","6.13","2013-12-06","138.7","2013-12-02","2.36","2013-12-02","0.91","2013-12-13","87.35"
"24","2013-12-01","13233.8","2013-12-01","7337.772","2013-12-01","2,274,129","2013-12-01","1,737","7,203","2,133","1,974","22,835","13,915","2013-12-01",NA,"2013-12-09","63.74","51.78","14.67","",NA,"2013-12-09","6.11","2013-12-13","138.9","2013-12-09","2.33","2013-12-09","0.9","2013-12-20","88.57"
"25","2013-12-01","13233.8","2013-12-01","7337.772","2013-12-01","2,274,129","2013-12-01","1,737","7,203","2,133","1,974","22,835","13,915","2013-12-01",NA,"2013-12-16","65.99","53.83","14.43","",NA,"2013-12-16","6.11","2013-12-20","134.7","2013-12-16","2.34","2013-12-16","0.89","2013-12-27","88.62"
"26","2013-12-01","13233.8","2013-12-01","7337.772","2013-12-01","2,274,129","2013-12-01","1,737","7,203","2,133","1,974","22,835","13,915","2013-12-01",NA,"2013-12-23","67.41","55.63","15.23","",NA,"2013-12-23","6.11","2013-12-27","133.83","2013-12-23","2.35","2013-12-23","0.89","2014-01-03","89.3"
"27","2013-12-01","13233.8","2013-12-01","7337.772","2013-12-01","2,274,129","2013-12-01","1,737","7,203","2,133","1,974","22,835","13,915","2013-12-01",NA,"2013-12-30","67.52","55.11","14.33","",NA,"2013-12-30","6.1","2014-01-03","135","2013-12-30","2.37","2013-12-30","0.89","2014-01-10","91.44"
"28","2014-01-01","9788.3","2014-01-01","8683.461","2014-01-01","2,907,755","2014-01-01","1,726","7,295","2,149","2,038","22,072","14,079","2014-01-01",NA,"2014-01-06","65.8","51.94","13.72","",NA,"2014-01-06","6.11","2014-01-10","134.2","2014-01-06","2.38","2014-01-06","0.89","2014-01-17","96.09"
