날짜,PDS 원자재 지수
20141229,100
20150105,98.22
20150112,93.71
20150119,93.25
20150126,93.87
20150202,95.68
20150209,99.94
20150216,103.17
20150223,102.72
20150302,103.33
20150309,102.29
20150316,99.69
20150323,99.44
20150330,100.86
20150406,100.93
20150413,102.63
20150420,106.4
20150427,108.56
20150504,110.14
20150511,110.29
20150518,110.02
20150525,107.68
20150601,106.16
20150608,105.89
20150615,106.99
20150622,106.15
20150629,105.47
20150706,102.39
20150713,100.45
20150720,98.67
20150727,96.28
20150803,93.42
20150810,92.07
20150817,90.63
20150824,86.2
20150831,88.69
20150907,88.97
20150914,88.68
20150921,88.07
20150928,87.59
20151005,88.49
20151012,90.61
20151019,88.46
20151026,87.02
20151102,87.23
20151109,85.71
20151116,83.42
20151123,83.51
20151130,83.04
20151207,81.08
20151214,78.25
20151221,77.37
20151228,78.43
20160104,77.45
20160111,74.12
20160118,70.23
20160125,71.84
20160201,74.03
20160208,72.76
20160215,72.91
20160222,73.34
20160229,75.71
20160307,79.18
20160314,80.97
20160321,82.4
20160328,81.87
20160404,81.92
20160411,83.92
20160418,85.52
20160425,87.73
20160502,88.81
20160509,87.56
20160516,89.4
20160523,89.62
20160530,89.73
20160606,91.29
20160613,90.98
20160620,90.36
20160627,90.74
20160704,91.02
20160711,89.42
20160718,89.03
20160725,87.15
20160801,85.56
20160808,86.82
20160815,88.98
20160822,90.45
20160829,89.52
20160905,88.69
20160912,89.85
20160919,89.36
20160926,90.39
20161003,92.11
20161010,94.47
20161017,94.38
20161024,93.84
20161031,93.12
20161107,91.97
20161114,93.3
20161121,94.49
20161128,96.25
20161205,100.36
20161212,101.39
20161219,101.33
20161226,102.72
20170102,103.02
20170109,104.21
20170116,105.26
20170123,105.98
20170130,106.86
20170206,107.25
20170213,106.95
20170220,106.01
20170227,105.54
20170306,104.2
20170313,100.99
20170320,101.11
20170327,100.4
20170403,102.06
20170410,103.22
20170417,102.29
20170424,99.66
20170501,98.4
20170508,96.12
20170515,96.97
20170522,98.67
20170529,96.7
20170605,94.87
20170612,93.95
20170619,92.96
20170626,93.04
20170703,95
20170710,94.34
20170717,95.92
20170724,97.32
20170731,99.13
20170807,100.25
20170814,100.27
20170821,101.63
20170828,102.72
20170904,104.58
20170911,106.46
20170918,106.73
20170925,107.84
20171002,107.24
20171009,106.94
20171016,107.77
20171023,108.14
20171030,109.59
20171106,111.69
20171113,111.87
20171120,110.92
20171127,112.09
20171204,110.98
20171211,111.36
20171218,112.61
20171225,114.3
20180101,116.09
20180108,117.45
20180115,118.63
20180122,119.94
20180129,120.29
20180205,117.75
20180212,113.67
20180219,115.42
20180226,116.03
20180305,114.86
20180312,114.15
20180319,114.81
20180326,115.95
20180402,115.63
20180409,116.51
20180416,119.17
20180423,119.83
20180430,120.3
20180507,121.7
20180514,124.83
20180521,126.18
20180528,124.83
20180604,124.39
20180611,124.41
20180618,122.9
20180625,121.65
20180702,123.41
