품목비교 Historical Data
조회기간 :,2013-07-07 ~ 2018-07-06
표시기준 :,Value(Price)로 표시
순서 :,과거부터(ASC)
병합기준 :,No Merge
[월평균 기준]
날짜,"브렌트유 [ICE] 2018.09"
201307,107.43
201308,110.45
201309,111.25
201310,109.43
201311,107.91
201312,110.8
201401,107.05
201402,108.82
201403,107.86
201404,108.12
201405,109.18
201406,111.97
201407,108.19
201408,103.43
201409,98.37
201410,88.11
201411,79.61
201412,63.27
201501,49.79
201502,58.78
201503,56.94
201504,61.28
201505,65.62
201506,63.81
201507,56.58
201508,48.21
201509,48.54
201510,49.29
201511,45.93
201512,38.91
201601,32.03
201602,33.56
201603,39.79
201604,43.34
201605,47.65
201606,49.93
201607,46.53
201608,47.16
201609,47.24
201610,51.39
201611,46.99
201612,54.92
201701,55.45
201702,55.99
201703,52.54
201704,53.8
201705,51.36
201706,47.6
201707,49.14
201708,51.87
201709,55.51
201710,57.6
201711,62.76
201712,64.01
201801,69.03
201802,65.66
201803,66.61
201804,71.66
201805,77.02
201806,75.91
201807,77.39
