날짜,통계,단위,등락,등락비
May-13,11710.1,10000 tons,▲812.47,7.46%
Jun-13,12985.6,10000 tons,▲1275.50,10.89%
Jul-13,12275.1,10000 tons,▼710.50,-5.47%
Aug-13,13134.7,10000 tons,▲859.60,7.00%
Sep-13,13784.5,10000 tons,▲649.80,4.95%
Oct-13,13548.4,10000 tons,▼236.10,-1.71%
Nov-13,13855.8,10000 tons,▲307.40,2.27%
Dec-13,13233.8,10000 tons,▼622.00,-4.49%
Jan-14,9788.3,10000 tons,▼3445.50,-26.04%
Feb-14,8841,10000 tons,▼947.30,-9.68%
Mar-14,12133.8,10000 tons,▲3292.80,37.24%
Apr-14,12374.4,10000 tons,▲240.60,1.98%
May-14,13057.9,10000 tons,▲683.50,5.52%
Jun-14,13970.6,10000 tons,▲912.70,6.99%
Jul-14,13646.3,10000 tons,▼324.30,-2.32%
Aug-14,13679.6,10000 tons,▲33.30,0.24%
Sep-14,13763.2,10000 tons,▲83.60,0.61%
Oct-14,13391.4,10000 tons,▼343.80,-2.50%
Nov-14,12705,10000 tons,▼686.40,-5.13%
Dec-14,12614.8,10000 tons,▼90.20,-0.71%
Jan-15,9223,10000 tons,▼3404.00,-26.96%
Feb-15,8330.5,10000 tons,▼892.50,-9.68%
Mar-15,10510.1,10000 tons,▲2179.60,26.16%
Apr-15,10409.5,10000 tons,▼100.60,-0.96%
May-15,11766.2,10000 tons,▲1356.70,13.03%
Jun-15,12848.1,10000 tons,▲1081.90,9.19%
Jul-15,12619,10000 tons,▼229.10,-1.78%
Aug-15,12381.4,10000 tons,▼237.60,-1.88%
Sep-15,13156.4,10000 tons,▲775.00,6.26%
Oct-15,12534.8,10000 tons,▲153.40,1.24%
Nov-15,11753.4,10000 tons,▼781.40,-6.23%
Dec-15,11967.1,10000 tons,▲213.70,1.82%
Feb-16,16187.5,10000 tons,▲4220.40,35.27%
Mar-16,9815.8,10000 tons,▼6371.70,-39.36%
Apr-16,10256.7,10000 tons,▲440.90,4.49%
May-16,10754.1,10000 tons,▲497.40,4.85%
Jun-16,12106.4,10000 tons,▲1352.30,12.57%
Jul-16,11574.3,10000 tons,▼532.10,-4.40%
Aug-16,11506.9,10000 tons,▼67.40,-0.58%
Sep-16,11892.7,10000 tons,▲385.80,3.35%
Oct-16,11928.9,10000 tons,▲36.20,0.30%
Nov-16,11667.9,10000 tons,▼261.00,-2.19%
Dec-16,11938.6,10000 tons,▲270.70,2.32%
Feb-17,18415.8,10000 tons,▲6477.20,54.25%
Mar-17,11361,10000 tons,▼7054.80,-38.31%
Apr-17,10337.2,10000 tons,▼1023.80,-9.01%
May-17,10748.1,10000 tons,▲410.90,3.97%
Jun-17,12469.3,10000 tons,▲1721.20,16.01%
Jul-17,11466.4,10000 tons,▼1002.90,-8.04%
Aug-17,11549.1,10000 tons,▲82.70,0.72%
Sep-17,11912.6,10000 tons,▲363.50,3.15%
Oct-17,12007.4,10000 tons,▲94.80,0.80%
Nov-17,10965.8,10000 tons,▼1041.60,-8.67%
Dec-17,10922.4,10000 tons,▼43.40,-0.40%
Feb-18,12346.4,10000 tons,▲1424.00,13.04%
Mar-18,6688.5,10000 tons,▼5657.90,-45.83%
Apr-18,6746.8,10000 tons,▲58.30,0.87%
