날짜,통계,단위,등락,등락비
May-13,6856.17645,10000 tons,▲140.76,2.10%
Jun-13,6229.580444,10000 tons,▼626.60,-9.14%
Jul-13,7314.303193,10000 tons,▲1084.72,17.41%
Aug-13,6900.811653,10000 tons,▼413.49,-5.65%
Sep-13,7458.345257,10000 tons,▲557.53,8.08%
Oct-13,6783.430333,10000 tons,▼674.92,-9.05%
Nov-13,7784.394611,10000 tons,▲1000.96,14.76%
Dec-13,7337.771561,10000 tons,▼446.62,-5.74%
Jan-14,8683.460701,10000 tons,▲1345.69,18.34%
Feb-14,6124.212165,10000 tons,▼2559.25,-29.47%
Mar-14,7396.186211,10000 tons,▲1271.97,20.77%
Apr-14,8338.666018,10000 tons,▲942.48,12.74%
May-14,7738.170418,10000 tons,▼600.50,-7.20%
Jun-14,7456.56934,10000 tons,▼281.60,-3.64%
Jul-14,8251.817232,10000 tons,▲795.25,10.67%
Aug-14,7488.139812,10000 tons,▼763.68,-9.25%
Sep-14,8469.489179,10000 tons,▲981.35,13.11%
Oct-14,7939.057443,10000 tons,▼530.43,-6.26%
Nov-14,6739.904505,10000 tons,▼1199.15,-15.10%
Dec-14,8685.130053,10000 tons,▲1945.23,28.86%
Jan-15,7857.059285,10000 tons,▼828.07,-9.53%
Feb-15,6794.218319,10000 tons,▼1062.84,-13.53%
Mar-15,8050.852734,10000 tons,▲1256.63,18.50%
Apr-15,8021.340355,10000 tons,▼29.51,-0.37%
May-15,7086.532462,10000 tons,▼934.81,-11.65%
Jun-15,7495.928999,10000 tons,▲409.40,5.78%
Jul-15,8609.823208,10000 tons,▲1113.89,14.86%
Aug-15,7412.239412,10000 tons,▼1197.58,-13.91%
Sep-15,8612.396111,10000 tons,▲1200.16,16.19%
Oct-15,7551.776787,10000 tons,▼1060.62,-12.32%
Nov-15,8213.054875,10000 tons,▲661.28,8.76%
Dec-15,9626.952104,10000 tons,▲1413.90,17.22%
Jan-16,8219.212268,10000 tons,▼1407.74,-14.62%
Feb-16,7361.164711,10000 tons,▼858.05,-10.44%
Mar-16,8577.165728,10000 tons,▲1216.00,16.52%
Apr-16,8391.794305,10000 tons,▼185.37,-2.16%
May-16,8675.227278,10000 tons,▲283.43,3.38%
Jun-16,8163.003725,10000 tons,▼512.22,-5.90%
Jul-16,8839.881271,10000 tons,▲676.88,8.29%
Aug-16,8772.369361,10000 tons,▼67.51,-0.76%
Sep-16,9298.79733,10000 tons,▲526.43,6.00%
Oct-16,8079.923112,10000 tons,▼1218.87,-13.11%
Nov-16,9076.051815,10000 tons,▲996.13,12.33%
Dec-16,8894.636769,10000 tons,▼181.42,-2.00%
Jan-17,9182.863014,10000 tons,▲288.23,3.24%
Feb-17,8332.141272,10000 tons,▼850.72,-9.26%
Mar-17,9529.593574,10000 tons,▲1197.45,14.37%
Apr-17,8194.51965,10000 tons,▼1335.07,-14.01%
May-17,9128.374891,10000 tons,▲933.86,11.40%
Jun-17,9447.656865,10000 tons,▲319.28,3.50%
Jul-17,8607.296612,10000 tons,▼840.36,-8.89%
Aug-17,8851.2009,10000 tons,▲243.91,2.83%
Sep-17,10282.95592,10000 tons,▲1431.76,16.18%
Oct-17,7949.377994,10000 tons,▼2333.58,-22.69%
Nov-17,9454,10000 tons,▲1504.62,18.93%
Dec-17,8414,10000 tons,▼1040.00,-11.00%
Jan-18,10034,10000 tons,▲1620.00,19.25%
Feb-18,8426.835,10000 tons,▼1607.17,-16.02%
Mar-18,8578.8,10000 tons,▲151.97,1.80%
Apr-18,8292,10000 tons,▼286.80,-3.34%
