품목비교 Historical Data
조회기간 :,2013-07-05 ~ 2018-07-02
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,No Merge
[주간평균 기준]
날짜,"USD/RMB (미국 달러 / 중국 인민폐)"
20180702,6.62
20180625,6.56
20180618,6.46
20180611,6.41
20180604,6.41
20180528,6.41
20180521,6.38
20180514,6.36
20180507,6.37
20180430,6.36
20180423,6.32
20180416,6.28
20180409,6.3
20180402,6.28
20180326,6.29
20180319,6.33
20180312,6.32
20180305,6.34
20180226,6.33
20180219,6.35
20180212,6.32
20180205,6.3
20180129,6.32
20180122,6.38
20180115,6.44
20180108,6.5
20180101,6.5
20171225,6.55
20171218,6.6
20171211,6.61
20171204,6.62
20171127,6.6
20171120,6.62
20171113,6.63
20171106,6.63
20171030,6.63
20171023,6.63
20171016,6.6
20171009,6.61
20170925,6.62
20170918,6.57
20170911,6.53
20170904,6.53
20170828,6.61
20170821,6.66
20170814,6.67
20170807,6.7
20170731,6.72
20170724,6.74
20170717,6.75
20170710,6.79
20170703,6.79
20170626,6.81
20170619,6.81
20170612,6.79
20170605,6.79
20170529,6.83
20170522,6.87
20170515,6.87
20170508,6.9
20170501,6.89
20170424,6.88
20170417,6.88
20170410,6.89
20170403,6.89
20170327,6.89
20170320,6.89
20170313,6.9
20170306,6.9
20170227,6.88
20170220,6.87
20170213,6.87
20170206,6.87
20170130,6.86
20170123,6.85
20170116,6.87
20170109,6.92
20170102,6.93
20161226,6.95
20161219,6.94
20161212,6.92
20161205,6.88
20161128,6.89
20161121,6.9
20161114,6.86
20161107,6.79
20161031,6.76
20161024,6.77
20161017,6.74
20161010,6.72
20160926,6.67
20160919,6.67
20160912,6.68
20160905,6.67
20160829,6.68
20160822,6.66
20160815,6.63
20160808,6.65
20160801,6.64
20160725,6.67
20160718,6.69
20160711,6.69
20160704,6.67
20160627,6.64
20160620,6.57
20160613,6.58
20160606,6.56
20160530,6.58
20160523,6.55
20160516,6.54
20160509,6.52
20160502,6.5
20160425,6.49
20160418,6.48
20160411,6.47
20160404,6.47
20160328,6.49
20160321,6.5
20160314,6.5
20160307,6.51
20160229,6.54
20160222,6.53
20160215,6.52
20160201,6.55
20160125,6.55
20160118,6.56
20160111,6.56
20160104,6.54
20151228,6.49
20151221,6.47
20151214,6.47
20151207,6.42
20151130,6.39
20151123,6.39
20151116,6.38
20151109,6.36
20151102,6.33
20151026,6.35
20151019,6.35
20151012,6.34
20151005,6.35
20150928,6.37
20150921,6.37
20150914,6.37
20150907,6.37
20150831,6.38
20150824,6.4
20150817,6.39
20150810,6.3
20150803,6.12
20150727,6.12
20150720,6.12
20150713,6.12
20150706,6.12
20150629,6.12
20150622,6.11
20150615,6.11
20150608,6.12
20150601,6.12
20150525,6.12
20150518,6.11
20150511,6.11
20150504,6.11
20150427,6.12
20150420,6.13
20150413,6.13
20150406,6.13
20150330,6.14
20150323,6.14
20150316,6.15
20150309,6.16
20150302,6.15
20150223,6.14
20150216,6.13
20150209,6.13
20150202,6.13
20150126,6.13
20150119,6.13
20150112,6.12
20150105,6.13
20141229,6.12
20141222,6.12
20141215,6.12
20141208,6.12
20141201,6.14
20141124,6.14
20141117,6.14
20141110,6.14
20141103,6.15
20141027,6.14
20141020,6.14
20141013,6.14
20141006,6.15
20140929,6.15
20140922,6.15
20140915,6.15
20140908,6.15
20140901,6.17
20140825,6.17
20140818,6.16
20140811,6.15
20140804,6.16
20140728,6.16
20140721,6.16
20140714,6.15
20140707,6.16
20140630,6.16
20140623,6.15
20140616,6.15
20140609,6.15
20140602,6.17
20140526,6.17
20140519,6.16
20140512,6.16
20140505,6.16
20140428,6.16
20140421,6.16
20140414,6.16
20140407,6.15
20140331,6.15
20140324,6.15
20140317,6.14
20140310,6.13
20140303,6.12
20140224,6.12
20140217,6.11
20140210,6.11
20140203,6.11
20140127,6.11
20140120,6.11
20140113,6.1
20140106,6.11
20131230,6.1
20131223,6.11
20131216,6.11
20131209,6.11
20131202,6.13
20131125,6.13
20131118,6.13
20131111,6.14
20131104,6.14
20131028,6.14
20131021,6.13
20131014,6.14
20131007,6.14
20130930,6.15
20130923,6.15
20130916,6.16
20130909,6.16
20130902,6.17
20130826,6.17
20130819,6.17
20130812,6.17
20130805,6.17
20130729,6.18
20130722,6.17
20130715,6.17
20130708,6.17
20130701,6.18
