기준일,기준가격,등락가,등락비율,재고량
2013-07-05,121.80 ,5.10 ,4.37 ,0.00 
2013-07-12,125.30 ,3.50 ,2.87 ,0.00 
2013-07-19,133.13 ,7.83 ,6.25 ,0.00 
2013-07-26,131.20 ,-1.93 ,-1.45 ,0.00 
2013-08-02,131.70 ,0.50 ,0.38 ,0.00 
2013-08-09,133.80 ,2.10 ,1.59 ,0.00 
2013-08-16,140.60 ,6.80 ,5.08 ,0.00 
2013-08-23,138.90 ,-1.70 ,-1.21 ,0.00 
2013-08-30,139.00 ,0.10 ,0.07 ,0.00 
2013-09-06,137.70 ,-1.30 ,-0.94 ,0.00 
2013-09-13,135.40 ,-2.30 ,-1.67 ,0.00 
2013-09-20,132.10 ,-3.30 ,-2.44 ,0.00 
2013-09-27,133.30 ,1.20 ,0.91 ,0.00 
2013-10-04,131.50 ,-1.80 ,-1.35 ,0.00 
2013-10-11,132.40 ,0.90 ,0.68 ,0.00 
2013-10-18,135.00 ,2.60 ,1.96 ,0.00 
2013-10-25,133.90 ,-1.10 ,-0.81 ,0.00 
2013-11-01,132.80 ,-1.10 ,-0.82 ,0.00 
2013-11-08,137.50 ,4.70 ,3.54 ,0.00 
2013-11-15,137.60 ,0.10 ,0.07 ,0.00 
2013-11-22,136.50 ,-1.10 ,-0.80 ,0.00 
2013-11-29,136.00 ,-0.50 ,-0.37 ,0.00 
2013-12-06,138.70 ,2.70 ,1.99 ,0.00 
2013-12-13,138.90 ,0.20 ,0.14 ,0.00 
2013-12-20,134.70 ,-4.20 ,-3.02 ,0.00 
2013-12-27,133.83 ,-0.87 ,-0.65 ,0.00 
2014-01-03,135.00 ,1.17 ,0.87 ,0.00 
2014-01-10,134.20 ,-0.80 ,-0.59 ,0.00 
2014-01-17,131.10 ,-3.10 ,-2.31 ,0.00 
2014-01-24,125.70 ,-5.40 ,-4.12 ,0.00 
2014-01-31,125.50 ,-0.20 ,-0.16 ,0.00 
2014-02-07,124.20 ,-1.30 ,-1.04 ,0.00 
2014-02-14,122.90 ,-1.30 ,-1.05 ,0.00 
2014-02-21,125.10 ,2.20 ,1.79 ,0.00 
2014-02-28,119.20 ,-5.90 ,-4.72 ,0.00 
2014-03-07,116.60 ,-2.60 ,-2.18 ,0.00 
2014-03-14,109.20 ,-7.40 ,-6.35 ,0.00 
2014-03-21,110.75 ,1.55 ,1.42 ,0.00 
2014-03-28,112.60 ,1.85 ,1.67 ,0.00 
2014-04-04,116.70 ,4.10 ,3.64 ,0.00 
2014-04-11,117.37 ,0.67 ,0.57 ,0.00 
2014-04-25,112.69 ,-4.68 ,-3.99 ,0.00 
2014-05-02,107.43 ,-5.26 ,-4.67 ,0.00 
2014-05-09,105.43 ,-2.00 ,-1.86 ,0.00 
2014-05-16,102.65 ,-2.78 ,-2.64 ,0.00 
2014-05-23,98.62 ,-4.03 ,-3.93 ,0.00 
2014-05-30,96.35 ,-2.27 ,-2.30 ,0.00 
2014-06-06,93.63 ,-2.72 ,-2.82 ,0.00 
2014-06-13,92.79 ,-0.84 ,-0.90 ,0.00 
2014-06-20,90.82 ,-1.97 ,-2.12 ,0.00 
2014-06-27,94.49 ,3.67 ,4.04 ,0.00 
2014-07-04,95.11 ,0.62 ,0.66 ,0.00 
2014-07-11,96.34 ,1.23 ,1.29 ,0.00 
2014-07-18,97.79 ,1.45 ,1.51 ,0.00 
2014-07-25,94.75 ,-3.04 ,-3.11 ,0.00 
2014-08-01,95.95 ,1.20 ,1.27 ,0.00 
2014-08-08,95.49 ,-0.46 ,-0.48 ,0.00 
2014-08-15,94.20 ,-1.29 ,-1.35 ,0.00 
2014-08-22,92.17 ,-2.03 ,-2.15 ,0.00 
2014-08-29,88.16 ,-4.01 ,-4.35 ,0.00 
2014-09-05,83.23 ,-4.93 ,-5.59 ,0.00 
2014-09-12,82.94 ,-0.29 ,-0.35 ,0.00 
2014-09-19,83.84 ,0.90 ,1.09 ,0.00 
2014-09-26,79.40 ,-4.44 ,-5.30 ,0.00 
2014-10-03,78.82 ,-0.58 ,-0.73 ,0.00 
2014-10-10,79.93 ,1.11 ,1.41 ,0.00 
2014-10-17,82.34 ,2.41 ,3.02 ,0.00 
2014-10-24,81.05 ,-1.29 ,-1.57 ,0.00 
2014-10-31,79.45 ,-1.60 ,-1.97 ,0.00 
2014-11-07,76.86 ,-2.59 ,-3.26 ,0.00 
2014-11-14,75.86 ,-1.00 ,-1.30 ,0.00 
2014-11-21,71.67 ,-4.19 ,-5.52 ,0.00 
2014-11-28,69.96 ,-1.71 ,-2.39 ,0.00 
2014-12-05,70.81 ,0.85 ,1.21 ,0.00 
2014-12-12,69.27 ,-1.54 ,-2.17 ,0.00 
2014-12-19,68.66 ,-0.61 ,-0.88 ,0.00 
2014-12-26,67.23 ,-1.43 ,-2.08 ,0.00 
2015-01-02,70.60 ,3.37 ,5.01 ,0.00 
2015-01-09,71.17 ,0.57 ,0.81 ,0.00 
2015-01-16,68.92 ,-2.25 ,-3.16 ,0.00 
2015-01-23,67.45 ,-1.47 ,-2.13 ,0.00 
2015-01-30,63.12 ,-4.33 ,-6.42 ,0.00 
2015-02-06,62.47 ,-0.65 ,-1.03 ,0.00 
2015-02-13,62.24 ,-0.23 ,-0.37 ,0.00 
2015-02-20,63.91 ,1.67 ,2.68 ,0.00 
2015-02-27,63.06 ,-0.85 ,-1.33 ,0.00 
2015-03-06,61.25 ,-1.81 ,-2.87 ,0.00 
2015-03-13,57.99 ,-3.26 ,-5.32 ,0.00 
2015-03-20,56.20 ,-1.79 ,-3.09 ,0.00 
2015-03-27,55.00 ,-1.20 ,-2.14 ,0.00 
2015-04-03,50.16 ,-4.84 ,-8.80 ,0.00 
2015-04-10,47.81 ,-2.35 ,-4.69 ,0.00 
2015-04-17,50.13 ,2.32 ,4.85 ,0.00 
2015-04-24,53.86 ,3.73 ,7.44 ,0.00 
2015-05-01,58.07 ,4.21 ,7.82 ,0.00 
2015-05-08,59.78 ,1.71 ,2.94 ,0.00 
2015-05-15,62.42 ,2.64 ,4.42 ,0.00 
2015-05-22,58.83 ,-3.59 ,-5.75 ,0.00 
2015-05-29,62.25 ,3.42 ,5.81 ,0.00 
2015-06-05,63.89 ,1.64 ,2.63 ,0.00 
2015-06-12,64.95 ,1.06 ,1.66 ,0.00 
2015-06-19,62.36 ,-2.59 ,-3.99 ,0.00 
2015-06-26,61.62 ,-0.74 ,-1.19 ,0.00 
2015-07-03,58.15 ,-3.47 ,-5.63 ,0.00 
2015-07-10,49.11 ,-9.04 ,-15.55 ,0.00 
2015-07-17,50.39 ,1.28 ,2.61 ,0.00 
2015-07-24,51.88 ,1.49 ,2.96 ,0.00 
2015-07-31,54.15 ,2.27 ,4.38 ,0.00 
2015-08-07,56.03 ,1.88 ,3.47 ,0.00 
2015-08-14,56.57 ,0.54 ,0.96 ,0.00 
2015-08-21,56.39 ,-0.18 ,-0.32 ,0.00 
2015-08-28,54.07 ,-2.32 ,-4.11 ,0.00 
2015-09-04,56.50 ,2.43 ,4.49 ,0.00 
2015-09-11,57.87 ,1.37 ,2.42 ,0.00 
2015-09-18,57.53 ,-0.34 ,-0.59 ,0.00 
2015-09-25,56.45 ,-1.08 ,-1.88 ,0.00 
2015-10-02,55.68 ,-0.77 ,-1.36 ,0.00 
2015-10-09,54.28 ,-1.40 ,-2.51 ,0.00 
2015-10-16,54.84 ,0.56 ,1.03 ,0.00 
2015-10-23,52.56 ,-2.28 ,-4.16 ,0.00 
2015-10-30,50.39 ,-2.17 ,-4.13 ,0.00 
2015-11-06,48.94 ,-1.45 ,-2.88 ,0.00 
2015-11-13,48.19 ,-0.75 ,-1.53 ,0.00 
2015-11-20,46.00 ,-2.19 ,-4.54 ,0.00 
2015-11-27,44.24 ,-1.76 ,-3.83 ,0.00 
2015-12-04,41.42 ,-2.82 ,-6.37 ,0.00 
2015-12-11,38.72 ,-2.70 ,-6.52 ,0.00 
