품목비교 Historical Data
조회기간 :,2013-07-05 ~ 2018-07-04
표시기준 :,Value(Price)로 표시
순서 :,과거부터(ASC)
병합기준 :,No Merge
[주간평균 기준]
날짜,"USD/BRL (미국 달러 / 브라질 레알)",날짜,"AUD/USD (호주 달러 / 미국 달러)"
20130701,2.25,20130701,0.91
20130708,2.26,20130708,0.92
20130715,2.23,20130715,0.92
20130722,2.24,20130722,0.92
20130729,2.28,20130729,0.9
20130805,2.29,20130805,0.9
20130812,2.33,20130812,0.91
20130819,2.41,20130819,0.9
20130826,2.37,20130826,0.9
20130902,2.35,20130902,0.91
20130909,2.28,20130909,0.93
20130916,2.23,20130916,0.94
20130923,2.23,20130923,0.94
20130930,2.21,20130930,0.94
20131007,2.2,20131007,0.94
20131014,2.17,20131014,0.96
20131021,2.18,20131021,0.96
20131028,2.21,20131028,0.95
20131104,2.29,20131104,0.95
20131111,2.33,20131111,0.93
20131118,2.28,20131118,0.93
20131125,2.31,20131125,0.91
20131202,2.36,20131202,0.91
20131209,2.33,20131209,0.9
20131216,2.34,20131216,0.89
20131223,2.35,20131223,0.89
20131230,2.37,20131230,0.89
20140106,2.38,20140106,0.89
20140113,2.35,20140113,0.89
20140120,2.38,20140120,0.88
20140127,2.42,20140127,0.88
20140203,2.4,20140203,0.89
20140210,2.4,20140210,0.9
20140217,2.38,20140217,0.9
20140224,2.34,20140224,0.9
20140303,2.33,20140303,0.9
20140310,2.36,20140310,0.9
20140317,2.34,20140317,0.91
20140324,2.29,20140324,0.92
20140331,2.26,20140331,0.93
20140407,2.21,20140407,0.94
20140414,2.23,20140414,0.94
20140421,2.23,20140421,0.93
20140428,2.23,20140428,0.93
20140505,2.22,20140505,0.93
20140512,2.22,20140512,0.94
20140519,2.21,20140519,0.93
20140526,2.23,20140526,0.93
20140602,2.27,20140602,0.93
20140609,2.23,20140609,0.94
20140616,2.23,20140616,0.94
20140623,2.21,20140623,0.94
20140630,2.21,20140630,0.94
20140707,2.22,20140707,0.94
20140714,2.23,20140714,0.94
20140721,2.22,20140721,0.94
20140728,2.24,20140728,0.93
20140804,2.28,20140804,0.93
20140811,2.27,20140811,0.93
20140818,2.26,20140818,0.93
20140825,2.26,20140825,0.93
20140901,2.24,20140901,0.93
20140908,2.29,20140908,0.92
20140915,2.35,20140915,0.9
20140922,2.41,20140922,0.88
20140929,2.46,20140929,0.87
20141006,2.41,20141006,0.88
20141013,2.43,20141013,0.88
20141020,2.48,20141020,0.88
20141027,2.47,20141027,0.88
20141103,2.53,20141103,0.86
20141110,2.57,20141110,0.87
20141117,2.57,20141117,0.87
20141124,2.54,20141124,0.85
20141201,2.57,20141201,0.84
20141208,2.62,20141208,0.83
20141215,2.69,20141215,0.82
20141222,2.69,20141222,0.81
20141229,2.67,20141229,0.81
20150105,2.68,20150105,0.81
20150112,2.64,20150112,0.82
20150119,2.6,20150119,0.81
20150126,2.61,20150126,0.79
20150202,2.74,20150202,0.78
20150209,2.83,20150209,0.78
20150216,2.84,20150216,0.78
20150223,2.87,20150223,0.78
20150302,2.98,20150302,0.78
20150309,3.15,20150309,0.77
20150316,3.24,20150316,0.77
20150323,3.18,20150323,0.78
20150330,3.17,20150330,0.76
20150406,3.09,20150406,0.77
20150413,3.06,20150413,0.77
20150420,3,20150420,0.78
20150427,2.97,20150427,0.79
20150504,3.04,20150504,0.79
20150511,3.02,20150511,0.8
20150518,3.04,20150518,0.79
20150525,3.15,20150525,0.77
20150601,3.15,20150601,0.77
20150608,3.11,20150608,0.77
20150615,3.09,20150615,0.78
20150622,3.1,20150622,0.77
20150629,3.12,20150629,0.76
